Category,Key,English,Chinese (Traditional),Notes
,tutTote4,Discarded carvings can be drawn again. Banished carvings are removed for the rest of combat,廢棄的雕刻可以重新繪製。在接下來的戰鬥中移除被放逐的雕刻, WARNING: AUTO-TRANSLATION #####################################################
,tutTote5,Move carvings to your deck to collect them. Removing them later will cost money!,將雕刻移到您的甲板上以收集它們。稍後刪除它們將花費金錢！, WARNING: AUTO-TRANSLATION #####################################################
,,,,
,,,,
,,,,
enemyCards,enemyXP,You will get /x experience for defeating this enemy,擊敗這個敵人將獲得 /x 點經驗,
,enemyC,"Cowardly! Will flee if only cowardly enemies remain""",膽小鬼！如果場上只剩無膽的敵人就會逃離！,
,enemyB,This enemy is a defender! Anyone behind them cannot be targeted,這個敵人是防御者！他們身後的任何人都不能成為目標, WARNING: AUTO-TRANSLATION #####################################################
,enemyS,This enemy is a summon,此敵人是召喚物,
,enemyHP,HP: /x / /y,血量：/x / /y,
enemies,Armadillo,Armadillo,犰狳,
,Armadillo1,These armadillos are legendary for their defensive abilities! And their stench!,這些犰狳以其高強防禦力和惡臭而聞名！,
,Badger Boss,Badger Boss,獾幫老大,
,Badger Boss1,The Badger Boss is a true threat!,獾幫老大是個巨大的威脅！,
,Badger,Badger,獾幫嘍囉,
,Badger1,You never see these guys alone. So annoying!,你從沒看過他們單獨出現，真煩人！,
,Bandit Lord,Bandit Lord,暴徒領主,
,Bandit Lord1,Isn't rebelling against authority the whole point of being a bandit?,真可笑，他們為了反抗權威才成為暴徒，最後卻給自己找了個新主子。,
,Bat,Bat,蝙蝠,
,Bat1,These bats don't drink... wine...,這些蝙蝠不是酒鬼而是血……,
,Blademaster,Blade Master,劍術大師,
,Blademaster1,"""You seem a decent fellow, I hate to kill you""",「你看上去是個不錯的傢伙，可惜得死在這裡了。」, WARNING: ENGLISH TEXT CHANGED #####################################################
,Bearded Dragon,Bearded Dragon,鬃獅蜥,
,Bearded Dragon1,Karate practice is a way of life,空手道乃生活之道,
,Blue Snail,Blue Snail,藍蝸牛, WARNING: AUTO-TRANSLATION #####################################################
,Blue Snail1,Blueberry flavor! Mmm!,藍莓味！嗯！, WARNING: AUTO-TRANSLATION #####################################################
,Crossbowman,Crossbowman,野兔弩手,
,Crossbowman1,Hares - Nimbler than Badgers and stronger than Rabbits. They are ideal crossbowmen in the King's army,野兔比獾更靈敏，也比兔子更強韌，在國王的軍隊裡是理想的弩手,
,Crow Bandit,Crow Bandit,烏鴉強盜,
,Crow Bandit1,They'll take your stuff and fly off,他們搶了你的東西就會遠走高飛,
,Cultist Blade,Cultist Blade,邪教徒刀斧手,
,Cultist Blade1,From his hand a gold chain dangles - an idol of his leader,他的手上垂下一條金鏈子，掛著他們頭領的小雕像,
,Cultist,Cultist,邪教徒,
,Cultist1,The cult is a pathway to many unnatural abilities,邪教是通向各種超自然能力的方法,
,Elder Mage,Elder Mage,法師長老,
,Elder Mage1,From his hand a gold chain dangles - an idol of his leader,他的手上垂下一條金鏈子，掛著他們頭領的小雕像,
,Ferret King,Ferret King,雪貂國王,
,Ferret King1,He'd be kind of cute if he wasn't such a violent person,如果他別這麼凶殘的話，或許會有點可愛呢,
,Fire Gecko,Fire Gecko,火焰壁虎,
,Fire Gecko1,"Years of training, but no match for a magical backpack",多年來的刻苦鍛煉，到頭來卻不是魔法背包的對手,
,Frog Wizard,Frog Wizard,青蛙巫師,
,Frog Wizard1,Frogs know about a deep magic that appears on rare Wednesdays,青蛙們知曉一種偶爾在週三才會顯現的秘藏魔法,
,Gerbil Ruffian,Gerbil Ruffian,沙鼠惡棍,
,Gerbil Ruffian1,Rumor has it that Gerbils used to be pets before the founding of Orderia. These overgrown monsters make you doubt it.,有傳言說在奧德雷亞建立之前沙鼠曾被作為寵物，但這些體型龐大的怪物讓你對此深感懷疑,
,Glory Knight,Glory Knight,榮耀騎士,
,Glory Knight1,Courageous heroes who have lost their way,早已誤入歧途的勇敢英雄們,
,Grandmaster,Grandmaster,大宗師,
,Grandmaster1,The fires of this place will turn you to ashes,此地的烈火將把你燒成灰燼,
,Hawk Knight,Hawk Knight,雄鷹騎士,
,Hawk Knight1,Noble. Screechingly loud. Pretty annoying really,高貴，卻有著刺耳尖嘯，真的很煩人,
,Hermit Crab,Hermit Crab,寄居蟹,
,Hermit Crab1,"Sure they're crabs, but most hermits are easier to avoid",寄居過活只為了有天能搬進豪宅,
,Hermit Crab Mimic,Hermit Crab Mimic,寄居蟹擬態怪,
,Hermit Crab Mimic1,looks can be deceiving,外表可能會騙人,
,King,King,國王,
,King1,"""All the world will be your enemy""",「整個世界都將與你為敵」, WARNING: ENGLISH TEXT CHANGED #####################################################
,Lil Bee,Li'l Bee,小蜜蜂,
,Lil Bee1,These small bees are all drones of the queen ,這些小蜜蜂都是女王的面首, WARNING: ENGLISH TEXT CHANGED #####################################################
,Living Shadow,Living Shadow,活體影子,
,Living Shadow1,A dark shadow of yourself.  Doppel-get-over-it!,你的黑影想要翻身做主！,
,Muskrat Brigand,Muskrat Brigand,麝鼠土匪,
,Muskrat Brigand1,"Tiny, spiny, they'll kick you in your... face",小巧又多刺，他們會好好…教訓你一頓,
,Newt,Newt,蠑螈,
,Newt1,Newts stay in moist areas. It's pretty nasty really,棲息在潮濕的地區，滿身黏液真噁心,
,Olm,Olm,洞螈,
,Olm1,Is it getting hot in here?,這裡是不是有點熱啊？,
,Pink Flower,Pink Flower,粉紅花朵,
,Pink Flower1,Beautiful but deadly,美麗卻又致命,
,Porcupine,Porcupine ,豪豬, WARNING: ENGLISH TEXT CHANGED #####################################################
,Porcupine1,Porcupines are usually friendly creatures. Something horrible must have happened to her,豪豬通常是種友善的動物，她一定經歷了某種糟糕的過去,
,Purple Snail,Purple Snail,紫蝸牛, WARNING: AUTO-TRANSLATION #####################################################
,Purple Snail1,Grape flavor. Delicious!,葡萄味。可口的！, WARNING: AUTO-TRANSLATION #####################################################
,Queen Bee,Queen Bee,蜂后,
,Queen Bee1,The queen bee commands the armies!,蜂后統率著大軍！,
,Rabbit,Rabbit,兔子,
,Rabbit1,The rabbit knows you are in its garden,兔子察覺到你進了他的庭院,
,Ratwolf,Ratwolf,鼠狼,
,Ratwolf1,"The ratwolf has long patrolled these halls, killing adventurers who stray too far",鼠狼一直在這些大廳間巡邏，殺死那些過於深入的冒險者們,
,Red Snail,Red Snail,紅蝸牛, WARNING: AUTO-TRANSLATION #####################################################
,Red Snail1,Strawberry flavor!,草莓味！, WARNING: AUTO-TRANSLATION #####################################################
,Repxecutioner,Repxecutioner,蜥蜴劊子手,
,Repxecutioner1,These lizards are known for their legendary fighting ability,這些蜥蜴因出色的戰鬥能力而聞名,
,Rude Rooster,Rude Rooster,粗魯雄雞,
,Rude Rooster1,This guy punched through his shell at 20 days old,這傢伙在二十天大時就一拳打破蛋殼出來了,
,Sable,Sable,黑貂,
,Sable1,Sables are fierce predators,紫貂是兇猛的掠食者,
,Sage Toad,Sage Toad,蟾蜍賢者,
,Sage Toad1,Wise toads are no one to be trifled with. That is all you need to know,你只需要知道一件事——沒有人敢招惹聰明的蟾蜍,
,Salamander,Salamander,火蜥蜴,
,Salamander1,"Wary, powerful, dignified, really long tongue",警慎、強大、莊嚴以及非常長的舌頭,
,Skink,Skink,石龍子,
,Skink1,"Skinks appear silently, sneaking digits snap up treasures from the unsuspecting",石龍子悄無聲息地出現，偷偷摸摸的從毫無戒心的人手中拿走寶物,
,Green Snail,Green Snail,綠蝸牛, WARNING: AUTO-TRANSLATION #####################################################
,Green Snail1,These goopy creatures make you feel sick!,這些黏糊糊的生物讓你感到噁心！, WARNING: AUTO-TRANSLATION #####################################################
,Small Ratwolf,Small Ratwolf,小鼠狼,
,Small Ratwolf1,The smaller version of the ratwolves that patrol the upper layers of the dungeon,在地城上層巡邏的迷你版鼠狼,
,Snake,Snake,蛇,
,Snake1,"Poisonous, Dangerous, keep them away from planes",劇毒、危險，勿忘那則「灰雞友蛇」的古老寓言,
,Speaker,Speaker,傳諭者,
,Speaker1,The speaker interprets the will of the Dark Lady,由她們傳達著黑暗女士的旨意,
,Travelling Warrior,Travelling Warrior,旅行傭兵,
,Travelling Warrior1,"Known for their fast movement and defensive abilities, these rogues are dangerous! Watch out!",這些混混以其快速的移動和防禦能力而聞名，非常危險！要小心！,
,Turtle,Turtle,烏龜,
,Turtle1,Their shells are hard. Their hearts are even harder.,他們的殼很硬，但他們的心更堅強。,
,Vole,Vole,田鼠,
,Vole1,Voles are notorious for walking off with anything that isn't nailed down,他們的臭名遠揚，所過之處總是寸草不留,
,White Flower,White Flower,潔白花朵,
,White Flower1,Beautiful but deadly,美麗卻又致命,
,Hologram,Hologram,全像投影,
,Hologram1,Made for testing CR-8's newest systems!,專為測試 CR-8 的最新系統而製造！,
,Glory Hunter,Glory Hunter,榮耀獵人, WARNING: AUTO-TRANSLATION #####################################################
,Glory Hunter1,Courageous heroes who have lost their way,迷失方向的英勇英雄, WARNING: AUTO-TRANSLATION #####################################################
,Ultra Knight,Ultra Knight,超騎士, WARNING: AUTO-TRANSLATION #####################################################
,Ultra Knight1,the ultimate machine - perfectly crafted and impervious to all damage!,終極機器 - 精心製作，不受任何損壞！, WARNING: AUTO-TRANSLATION #####################################################
,Legman,Legman,勒格曼, WARNING: AUTO-TRANSLATION #####################################################
,Legman1,He never skips leg day,他從不跳過腿部日, WARNING: AUTO-TRANSLATION #####################################################
,The Muscle,The Muscle,肌肉, WARNING: AUTO-TRANSLATION #####################################################
,The Muscle1,He'll do anything the Head Honcho demands!,他會做任何校長要求的事情！, WARNING: AUTO-TRANSLATION #####################################################
,Head Honcho,Head Honcho,總長, WARNING: AUTO-TRANSLATION #####################################################
,Head Honcho1,"""Me order! Me Master! I run this dungeon!""",“我的命令！我的主人！這個地牢我經營！”, WARNING: AUTO-TRANSLATION #####################################################
,Nightblade,Nightblade,夜刃, WARNING: AUTO-TRANSLATION #####################################################
,Nightblade1,Elite guards of the College of Dreams who have betrayed the Sacred Trees,背叛神樹的夢之學院精銳衛士, WARNING: AUTO-TRANSLATION #####################################################
,Hermit Crab Bomb,Hermit Crab Bomb,寄居蟹炸彈, WARNING: AUTO-TRANSLATION #####################################################
,Hermit Crab Bomb1,"When the Blue Hermit Crab outgrows its shell it explodes, and it goes off in search of a new piece of junk to call home",當藍色寄居蟹長到殼外時，它會爆炸，然後它會去尋找一塊新的垃圾來回家, WARNING: AUTO-TRANSLATION #####################################################
,Sentry,Sentry,哨兵, WARNING: AUTO-TRANSLATION #####################################################
,Sentry1,01001101 01101111 01101110 01100001 01100100,01001101 01101111 01101110 01100001 01100100, WARNING: AUTO-TRANSLATION #####################################################
,Hare Defender,Hare Defender,野兔衛士, WARNING: AUTO-TRANSLATION #####################################################
,Hare Defender1,The front line of the Badger Kingdoms army never let their back line fall,獾王國軍隊的前線從不讓他們的後線倒下, WARNING: AUTO-TRANSLATION #####################################################
,Scarecrow,Scarecrow,稻草人, WARNING: AUTO-TRANSLATION #####################################################
,Scarecrow1,Built with wood from the Mother Tree to guide you in your travels,用母親樹上的木頭建造，指導您的旅行, WARNING: AUTO-TRANSLATION #####################################################
,Cobra,Cobra,眼鏡蛇, WARNING: AUTO-TRANSLATION #####################################################
,Cobra1,"Strike First, Strike Hard, No Mercy.",先出手，嚴打出手，不留情面。, WARNING: AUTO-TRANSLATION #####################################################
,Honey Guide,Honey Guide,蜂蜜指南, WARNING: AUTO-TRANSLATION #####################################################
,Honey Guide1,"He keeps the Badger calm. If he's gone, the Badger may go crazy",他讓獾保持冷靜。如果他走了，獾可能會發瘋, WARNING: AUTO-TRANSLATION #####################################################
,Honey Badger,Honey Badger,蜜獾, WARNING: AUTO-TRANSLATION #####################################################
,Honey Badger1,So peaceful and calm!,如此平靜和平靜！, WARNING: AUTO-TRANSLATION #####################################################
,Feral Badger,Feral Badger,野獾, WARNING: AUTO-TRANSLATION #####################################################
,Feral Badger1,He's unleashed!,他被釋放了！, WARNING: AUTO-TRANSLATION #####################################################
,Boastful Spellsword,Boastful Spellsword,自誇的魔劍, WARNING: AUTO-TRANSLATION #####################################################
,Boastful Spellsword1,He thinks he's stronger than he is,他覺得自己比他強, WARNING: AUTO-TRANSLATION #####################################################
enemy actions,ea1,Will attack for /x damage,即將攻擊，造成 /x 點傷害,
,ea1a,Will attack all enemies for /x damage,即將攻擊全體敵人，造成 /x 點傷害,
,ea2,Will add /x block,即將疊加 /x 點格擋,
,ea2a,Will add /x block to all enemies,即將對全體敵人疊加 /x 點格擋,
,ea3,Will heal for /x,即將治療 /x 點血量,
,ea3a,Will heal all enemies for /x,即將對全體敵人治療 /x 點血量,
,ea4,Will not take any action,不會採取任何行動,
,ea5,Will add /x poison,即將施加 /x 層中毒,
,ea6,Will add /x burn,即將施加 /x 層燃燒,
,ea7,Will add /x regeneration,即將疊加 /x 層再生,
,ea7a,Will add /x regeneration to all enemies,即將對全體敵人疊加 /x 層再生,
,ea8,Will add /x spikes,即將疊加 /x 層尖刺,
,ea8a,Will add /x spikes to all enemies,即將對全體敵人疊加 /x 層尖刺,
,ea9,Will add /x dodge,即將對疊加 /x 層閃避,
,ea9a,Will add /x dodge to all enemies,即將對全體敵人疊加 /x 層閃避,
,ea10,Will add /x slow,即將施加 /x 層緩慢,
,ea11,Will add /x weak,即將施加 /x 層虛弱,
,ea12,Will summon an enemy,即將召喚一名敵人,
,ea13,Will deal /x vampirism,即將造成 /x 點吸血,
,ea14,Will add one of these curses:,即將施加隨機一種詛咒：,
,ea15,"Will self destruct, dealing /x damage",會自毀，造成/x傷害, WARNING: AUTO-TRANSLATION #####################################################
