context menu,cm1,View card,Visualizza scheda,WARNING: AUTO-TRANSLATION #####################################################
,cm2,Use item,Usa l'oggetto,WARNING: AUTO-TRANSLATION #####################################################
,cm3,Use Item Max Times,Usa l’oggetto finche puoi, WARNING: AUTO-TRANSLATION #####################################################
,cm4,Reroll Items,Rilancia gli oggetti, WARNING: AUTO-TRANSLATION #####################################################
,cm5,Discover passage,Scopri il passaggio, WARNING: AUTO-TRANSLATION #####################################################
,cm6,Summon enemies,Evoca nemici, WARNING: AUTO-TRANSLATION #####################################################
,cm7,Add reward,Aggiungi ricompensa, WARNING: AUTO-TRANSLATION #####################################################
,cm8,Duplicate potion,Pozione duplicata, WARNING: AUTO-TRANSLATION #####################################################
,cm9,Combine potions,Combina Pozioni!, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,cm10,Flip switch,Tira la leva, WARNING: AUTO-TRANSLATION #####################################################
,cm11,Return carving,Restituisci l'intaglio, WARNING: AUTO-TRANSLATION #####################################################
,cm12,Remove carving,Rimuovi l'intaglio, WARNING: AUTO-TRANSLATION #####################################################
gameManagerMessages,gmreo,Reorganize now to claim this item!,Riorganizza Per ottenere questo oggetto!,
,gm1,Finished!,Finito!,
,gm2,Must be in an empty room!,Dovresti Essere in una stanza vuota!,
,gm3,Cannot save right now!,Non puoi salvare in questo momento!,
,gm4,Complete tutorial to save!,Completa il tutorial per salvare!,
,gm5,Cannnot save while moving!,Non puoi salvare mentre ti muovi!,
,gm6,Finale,Finale,
,gm7,Part /x of /y,Parte /x di /y,
,gm8,Finished Choosing,Finito di Scegliere,
,gm9,Can't take more items,Non puoi prendere di più,
,gm10,Take /x items,Prendi /x oggetti,
,gm11,Take 1 item,Prendi 1 Oggetto,
,gmb,Battle Start!,Inizio Battaglia!,
,gmpt,Player Turn!,Turno del giocatore!,
,gmet,Enemy Turn!,Turno del nemico,
,gm12,You win!,Hai Vinto!,
,gm13,Level Up!,Salito di livello!,
,gm14,Get items!,Prendi oggetti,
,gm14b,End Battle!,Termina la battaglia!, WARNING: AUTO-TRANSLATION #####################################################
,gm15,Not enough energy,Non abbastanza energia,
,gm16,Any items left outside the backpack will be lost,Tutti gli oggetti lasciati fuori dallo zaino verranno perduti,
,gm17,Finished Reorganizing,Finito di riorganizzare,
,gm18,Save Failed!,Salvataggio Fallito!,
,gm19,You have been cursed!,Sei stato maledetto!,
,gm20,Skip curse. Take /x damage,Ignora maledizione. Prendi /x danni,
,gm21,Choose an item,Scegli un oggetto,
,gm22,Never Mind,Ho cambiato idea,as a response when not selecting an item
,gm23,You must place all curses!,Devi Piazzare tutte le maledizioni!,
,gm24,Cannot be combined with selected item,non può essere combinato con l’oggetto selezionato,
,gm25,Cannot be used!,Non può essere usato!,
,gm26,Not enough connected Mana,Non c’è abbastanza Mana collegata,
,gm27,Not enough Gold,Non hai abbastanza oro,
,gm28,No more uses this combat,Niente più usi per questo Combattimento,
,gm29,No more uses this turn,Niente più usi per questo turno,
,gm30,No more uses,Niente più usi,
,gm31,This item is disabled,Questo oggetto è disattivato,
,gm32,Anchored,Ancorato,
,gm33,Cannot move a curse,Con puoi muovere una maledizione,
,gm34,Cannot move here,Non puoi spostarlo qui,
,gm35,Cannot afford,Costa Troppo,
,gm36,Cannot place here,Non puoi metterlo qui,
,gm37,Finish Battle to Continue,Finisci la Battaglia per continuare,
,gm38,Can't move here!,Non puoi andare qui!,
,gm39,Pathway blocked!,Via Bloccata!,
,gm40,Game Loaded,Partita Caricata,
,gm41,Game Saved,Partita Salvata,
,gmillusory,Illusory spaces can only hold carvings,Gli spazi illusori possono contenere solo intagli, WARNING: AUTO-TRANSLATION #####################################################
,retry,retry,Riprova,
,gm42,Choose /x spaces,Scegli /x Spazi, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm43,Carvings cannot be played while reorganizing,Gli intagli non possono essere giocati durante la riorganizzazione, WARNING: AUTO-TRANSLATION #####################################################
,gm44,You cannot leave this item behind: ,Non puoi lasciare questo oggetto indietro:, WARNING: AUTO-TRANSLATION #####################################################
,gm45,Item has an invalid placement,Questo oggetti ha un piazzamento invalido, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm46,Enter text. . .,Inserire il testo. . ., WARNING: AUTO-TRANSLATION #####################################################
,gm47,More Game Modes,Altre modalità di gioco, WARNING: AUTO-TRANSLATION #####################################################
,gmCR81,You cannot leave your core behind,Non puoi andartene senza il tuo Nucleo, WARNING: AUTO-TRANSLATION #####################################################
,gmSatchel1,Items must be placed on a rune space!,Gli oggetti devono essere piazzati su uno spazio runico!,WARNING: ENGLISH TEXT CHANGED #####################################################
,gmSatchel2,You can't move items once they're crammed in!,Non puoi muovere un oggetto dopo che è stato Ammassato!,WARNING: ENGLISH TEXT CHANGED #####################################################
,gmSatchel3,There's no space to cram it in!,Non c’è spazio per ammassarlo!,WARNING: ENGLISH TEXT CHANGED #####################################################
Tote,gmTote1,Carvings must be placed in your Backpack,Gli intagli devono essere inseriti nel tuo zaino, WARNING: AUTO-TRANSLATION #####################################################
,gmTote2,Carvings in hand,Intagli nella mano, WARNING: AUTO-TRANSLATION #####################################################
,gmTote3,Discarded Carvings,Sculture scartate, WARNING: AUTO-TRANSLATION #####################################################
,gmTote4,Banished Carvings,Sculture bandite, WARNING: AUTO-TRANSLATION #####################################################
Run Types,rt1,standard,standard, WARNING: AUTO-TRANSLATION #####################################################
,rt1d,A basic run with no special settings!,Una Normale partità senza opzioni speciali!, WARNING: AUTO-TRANSLATION #####################################################
,rt2,No experience,Nessuna esperienza, WARNING: AUTO-TRANSLATION #####################################################
,rt3,Bombs Away,Bombardiere, WARNING: AUTO-TRANSLATION #####################################################
,rt4,Easy Mode,Modalità facile, WARNING: AUTO-TRANSLATION #####################################################
,rt5,Hard Mode,Modalità difficile, WARNING: AUTO-TRANSLATION #####################################################
,rt5b,Hard Mode 2,Modalità difficile 2, WARNING: AUTO-TRANSLATION #####################################################
,rt5c,Hard Mode 3,Modalità difficile 3, WARNING: AUTO-TRANSLATION #####################################################
,rt5dd,Hard Mode 4,Modalità difficile 4, WARNING: AUTO-TRANSLATION #####################################################
,rt5v5,Hard Mode 5,Modalità difficile 5, WARNING: AUTO-TRANSLATION #####################################################
,rt5e,Unfair Mode,Modalità Sleale, WARNING: AUTO-TRANSLATION #####################################################
,rt5f,Hard Puzzle Mode,Modalità Rompicapo Arduo , WARNING: AUTO-TRANSLATION #####################################################
,rt6,Pauper Mode,Modalità miseria, WARNING: AUTO-TRANSLATION #####################################################
,rt7,Glass Cannon,Cannone di vetro, WARNING: AUTO-TRANSLATION #####################################################
,rt8,5 by 5 challenge,Sfida 5 per 5, WARNING: AUTO-TRANSLATION #####################################################
,rt8b,5 by 7 challenge,Sfida 5 per 7, WARNING: AUTO-TRANSLATION #####################################################
,rt9,Another way,Un'altro modo, WARNING: AUTO-TRANSLATION #####################################################
,rt10,Big Mode,modalità Grande, WARNING: AUTO-TRANSLATION #####################################################
,rt11,Classic Matthew,Classico Matthew, WARNING: AUTO-TRANSLATION #####################################################
,rt12,Endless Dream,Sogno infinito, WARNING: AUTO-TRANSLATION #####################################################
,rt13,Great Pair,Ottima coppia, WARNING: AUTO-TRANSLATION #####################################################
,rt14,Horrible Curse,Maledetto!, WARNING: AUTO-TRANSLATION #####################################################
,rt15,Horrible Luck,Sfortuna immensa, WARNING: AUTO-TRANSLATION #####################################################
,rt16,Lethal,Letale, WARNING: AUTO-TRANSLATION #####################################################
,rt17,Penny Pincher,Tirchiaggine, WARNING: AUTO-TRANSLATION #####################################################
,rt18,Puzzle Mode,Modalità Rompicapo, WARNING: AUTO-TRANSLATION #####################################################
,rt19,Quick and Easy,Facile e Veloce, WARNING: AUTO-TRANSLATION #####################################################
,rt20,Scaling Energy,Energia Crescente, WARNING: AUTO-TRANSLATION #####################################################
,rt21,Small Paws,Zampine, WARNING: AUTO-TRANSLATION #####################################################
,rt22,Standard Energy,Energia standard, WARNING: AUTO-TRANSLATION #####################################################
,rt23,Strong Start,Inizio col botto, WARNING: AUTO-TRANSLATION #####################################################
,rt24,Trash Blaster,Lancia immondizia, WARNING: AUTO-TRANSLATION #####################################################
,rt25,Wrecked Relics,Reliquie rotte, WARNING: AUTO-TRANSLATION #####################################################
,rt26,Boss Rush,BossRush, WARNING: AUTO-TRANSLATION #####################################################
,rt27,Ever changing,In continuo cambiamento, WARNING: AUTO-TRANSLATION #####################################################
,rt28,Adaptive,Adattivo, WARNING: AUTO-TRANSLATION #####################################################
,Run modifier,Run modifier,modificatore Partità, WARNING: AUTO-TRANSLATION #####################################################
Run Type Text,rte1,Has been completed!,completato!, WARNING: AUTO-TRANSLATION #####################################################
,rte2b,This run was unlocked by completing:,Questa Modalità è stata sbloccata completando:, WARNING: AUTO-TRANSLATION #####################################################
,rte2,This run is locked until you complete:,Questa Modalità è bloccata finché non completi:, WARNING: AUTO-TRANSLATION #####################################################
,rte3,Locked!,Bloccato!, WARNING: AUTO-TRANSLATION #####################################################
Run Type Descriptors,rtd1,You cannot earn experience,Non puoi guadagnare esperienza, WARNING: AUTO-TRANSLATION #####################################################
,rtd2,You start with these items. You must keep them the entire run:,Inizi con questi oggetti. Devi tenerli per l'intera partità:, WARNING: AUTO-TRANSLATION #####################################################
,rtd3,You can take /x items after each standard battle,Puoi prendere /x oggetti dopo ogni battaglia normale, WARNING: AUTO-TRANSLATION #####################################################
,rtd4,/x to max health,/x alla massima salute, WARNING: AUTO-TRANSLATION #####################################################
,rtd5,/x% each time you earn xp,/x% ogni volta che guadagni xp, WARNING: AUTO-TRANSLATION #####################################################
,rtd6,/x% each time you earn gold,/x% ogni volta che guadagni oro, WARNING: AUTO-TRANSLATION #####################################################
,rtd7,/x% to enemy health,/x% alla salute del nemico, WARNING: AUTO-TRANSLATION #####################################################
,rtd8,Backpack limited to /x spaces wide,Zaino limitato a /x spazi di larghezza, WARNING: AUTO-TRANSLATION #####################################################
,rtd9,You can only find common and uncommon items,Puoi trovare solo oggetti comuni e non comuni, WARNING: AUTO-TRANSLATION #####################################################
,rtd10,You start with these items:,Inizi con questi Oggetti:, WARNING: AUTO-TRANSLATION #####################################################
,rtd11,You cannot find these items:,Non puoi trovare questi oggetti:, WARNING: AUTO-TRANSLATION #####################################################
,rtd12,Standard chests contain /x items,I forzieri normali contengono /x oggetti, WARNING: AUTO-TRANSLATION #####################################################
,rtd13,Enemy attacks get /x% damage,Gli attacchi nemici ottengono /x% di danno, WARNING: AUTO-TRANSLATION #####################################################
,rtd14,You cannot find items of this type:,Non puoi trovare oggetti di questo tipo:, WARNING: AUTO-TRANSLATION #####################################################
,rtd15,All weapons receive /x% bonus damage,Tutte le armi ricevono /x% di danno bonus, WARNING: AUTO-TRANSLATION #####################################################
,rtd16,/x% to luck,/x% alla fortuna, WARNING: AUTO-TRANSLATION #####################################################
,rtd17,All status effects deal damage and disappear each turn,Tutti gli effetti di stato infliggono danni e scompaiono ogni turno, WARNING: AUTO-TRANSLATION #####################################################
,rtd18,Start the game from Matthew,Inizia il gioco da Matthew, WARNING: AUTO-TRANSLATION #####################################################
,rtd19,Your max health is /x,La tua salute massima è /x, WARNING: AUTO-TRANSLATION #####################################################
,rtd20,Instead of standard items - find a chest after each combat,"Invece degli oggetti standard, trovi un forziere dopo ogni combattimento", WARNING: AUTO-TRANSLATION #####################################################
,rtd21,Instead of standard items - find a store after each combat,"Invece di oggetti normale, trovi un negozio dopo ogni combattimento", WARNING: AUTO-TRANSLATION #####################################################
,rtd22,You can only find /x space items,Puoi trovare solo oggetti di /x  grandezza, WARNING: AUTO-TRANSLATION #####################################################
,rtd23,You can only find items that are /x spaces or larger,Puoi trovare solo oggetti di /x  grandezza o più, WARNING: AUTO-TRANSLATION #####################################################
,rtd24,Your energy starts at /x and increases each turn,La tua energia inizia a /x e aumenta ad ogni turno, WARNING: AUTO-TRANSLATION #####################################################
,rtd25,You get /x energy each turn,Ottieni /x energia ogni turno, WARNING: AUTO-TRANSLATION #####################################################
,rtd26,You cannot find relics,Non puoi trovare reliquie, WARNING: AUTO-TRANSLATION #####################################################
,rtd27,There is only one floor before each boss,C'è solo un piano prima di ogni boss, WARNING: AUTO-TRANSLATION #####################################################
,rtd28,Enemies will never poison the player,I nemici non avveleneranno mai il giocatore, WARNING: AUTO-TRANSLATION #####################################################
,rtd29,Don't start with standard items,Non inizi con gli oggetti standard, WARNING: AUTO-TRANSLATION #####################################################
,rtd30,Items must be placed adjacent to an item of the same type or rarity. This excludes your starting items:,Gli oggetti devono essere posizionati adiacenti a un oggetto dello stesso tipo o rarità. Questo esclude i tuoi oggetti di partenza:, WARNING: AUTO-TRANSLATION #####################################################
,rtd31,Enemies will never curse the player,I nemici non malediranno mai il giocatore, WARNING: AUTO-TRANSLATION #####################################################
,rtd32,Backpack starts at /x spaces wide,Lo zaino inizia con /x spazi di larghezza, WARNING: AUTO-TRANSLATION #####################################################
,rtd33,Go directly to each Boss,Vai direttamente da ogni Boss, WARNING: AUTO-TRANSLATION #####################################################
,rtd34,Start in a room with:,Inizia in una stanza con:, WARNING: AUTO-TRANSLATION #####################################################
,rtd35,All items are replaced after each battle,Tutti gli oggetti vengono sostituiti dopo ogni battaglia, WARNING: AUTO-TRANSLATION #####################################################
minigames,mini1,Spin /x gold,Ruota /x oro,WARNING: ENGLISH TEXT CHANGED #####################################################
,mini2,Spin - free,Ruota - Gratuito,WARNING: ENGLISH TEXT CHANGED #####################################################
,mini3,Can't leave yet,Non puoi ancora andare,WARNING: ENGLISH TEXT CHANGED #####################################################
,mini4,Finish your guess to leave,Finisci di scegliere prima di andare,WARNING: ENGLISH TEXT CHANGED #####################################################
,mini5,No more guesses!,Niente più tentativi!,WARNING: ENGLISH TEXT CHANGED #####################################################
,mini6,Matching,Corrispondente,WARNING: ENGLISH TEXT CHANGED #####################################################
,mini7,You have /x guesses remaining,Hai /x tentativi restanti,WARNING: ENGLISH TEXT CHANGED #####################################################
tutorials,tut1,In combat you click items to use them. You must defeat all enemies to continue.,In combattimento clicchi gli oggetti per usarli. Devi sconfiggere tutti i nemici per continuare.,WARNING: ENGLISH TEXT CHANGED #####################################################
,tut2,"Add all items to your backpack to continue! While holding an item, you can press right mouse or arrow keys to rotate it!","Aggiungi tutti gli oggetti al tuo zaino per continuare! Mentre tieni un oggetto, puoi premere il tasto destro del mouse i tasti Q ed E oppure i tasti direzionali!",WARNING: ENGLISH TEXT CHANGED #####################################################
,tutCR81,Put items in the path of your core. Use your core to activate them,Metti gli oggetti nel percorso del tuo nucleo. Usa il tuo nucleo per attivarli, WARNING: AUTO-TRANSLATION #####################################################
,tutCR82,"If multiple items are in the path, they will all be used","Se nel percorso sono presenti più oggetti, verranno tutti utilizzati", WARNING: AUTO-TRANSLATION #####################################################
,tutCR83,"If an item occupies multiple spaces, it can be used multiple times","Se un oggetto occupa più spazi, può essere utilizzato più volte", WARNING: AUTO-TRANSLATION #####################################################
,tutCR84,You can redirect the path of your charge,Puoi reindirizzare il percorso della tua carica, WARNING: AUTO-TRANSLATION #####################################################
,tutCR85,"If you don't have enough energy to use an item, the charge is lost. Use a splitter to divide a charge. The energy is rounded up!","Se non hai abbastanza energia per usare un oggetto, la carica viene persa. Usa uno splitter per dividere una carica. L'energia è arrotondata in su!", WARNING: AUTO-TRANSLATION #####################################################
,tutCR86,Use multiple different charges to hit the same item several times,Usa più cariche diverse per colpire lo stesso oggetto più volte, WARNING: AUTO-TRANSLATION #####################################################
,tutCR87,"Once a charge has 0 energy, it is destroyed. Use any 0 energy items first","Una volta che una carica ha 0 energia, viene distrutta. Usa prima gli  oggetti che richiedono 0 energia", WARNING: AUTO-TRANSLATION #####################################################
,tutCR88,Some items create charges on their own!,Alcuni oggetti generano Cariche da soli!, WARNING: AUTO-TRANSLATION #####################################################
,tutTote1,Each turn Tote draws 3 carvings. Drag them to your bag to summon them.,Ogni turno Tote pesca 3 intagli. Trascinali nella tua borsa per evocarli., WARNING: AUTO-TRANSLATION #####################################################
,tutTote2,Some carvings can be used after they are summoned.,Alcuni intagli possono essere utilizzati dopo che sono stati evocati., WARNING: AUTO-TRANSLATION #####################################################
,tutTote3,Some carvings have a cost to summon - shown at the bottom of the card.,"Alcuni intagli hanno un costo per evocare, mostrato in fondo alla scheda.", WARNING: AUTO-TRANSLATION #####################################################
,tutTote4,Discarded carvings can be drawn again. Banished carvings are removed for the rest of combat,Gli intagli scartati possono essere pescati di nuovo. Gli intagli banditi vengono rimossi per il resto del combattimento, WARNING: AUTO-TRANSLATION #####################################################
,tutTote5,Move carvings to your deck to collect them. Removing them later will cost money!,Sposta gli intagli nel tuo mazzo per raccoglierli. Ma rimuoverli in seguito costerà denaro!, WARNING: AUTO-TRANSLATION #####################################################
,,,,
,,,,
,,,,
enemyCards,enemyXP,You will get /x experience for defeating this enemy,Avrai /x esperienza sconfiggendo questo nemico,WARNING: ENGLISH TEXT CHANGED #####################################################
,enemyC,"Cowardly! Will flee if only cowardly enemies remain""","Codardo! Scapperà soltanto se ci sono solo nemici codardi restanti""",WARNING: ENGLISH TEXT CHANGED #####################################################
,enemyB,This enemy is a defender! Anyone behind them cannot be targeted,Questo nemico è un difensore! Chiunque dietro di loro non può essere preso di mira, WARNING: AUTO-TRANSLATION #####################################################
,enemyS,This enemy is a summon,Questo nemico è un’evocazione,WARNING: ENGLISH TEXT CHANGED #####################################################
,enemyHP,HP: /x / /y,PV: /x / /y,"example: ""HP: 3 / 5"" WARNING: ENGLISH TEXT CHANGED #####################################################"
enemies,Armadillo,Armadillo,Armadillo,WARNING: ENGLISH TEXT CHANGED #####################################################
,Armadillo1,These armadillos are legendary for their defensive abilities! And their stench!,Questi armadilli sono leggendari per le loro abilita difensive! Ed il loro fetore!,WARNING: ENGLISH TEXT CHANGED #####################################################
,Badger Boss,Badger Boss,Tassone,WARNING: ENGLISH TEXT CHANGED #####################################################
,Badger Boss1,The Badger Boss is a true threat!,Questo Tasso è più grande e pericoloso!,WARNING: ENGLISH TEXT CHANGED #####################################################
,Badger,Badger,Tasso,WARNING: ENGLISH TEXT CHANGED #####################################################
,Badger1,You never see these guys alone. So annoying!,Non vedrai mai questi tipi da soli. Sono cosi Fastidiosi!,WARNING: ENGLISH TEXT CHANGED #####################################################
,Bandit Lord,Bandit Lord,Capo dei Briganti,WARNING: ENGLISH TEXT CHANGED #####################################################
,Bandit Lord1,Isn't rebelling against authority the whole point of being a bandit?,non è Ribellarsi alle autorità il punto di essere un bandito?,WARNING: ENGLISH TEXT CHANGED #####################################################
,Bat,Bat,Pipistrello,WARNING: ENGLISH TEXT CHANGED #####################################################
,Bat1,These bats don't drink... wine...,Questi pipistrelli non bevono... vino…,WARNING: ENGLISH TEXT CHANGED #####################################################
,Blademaster,Blade Master,Mastro Spadaccino,WARNING: ENGLISH TEXT CHANGED #####################################################
,Blademaster1,"""You seem a decent fellow, I hate to kill you""","""Sembri un individuo decente, Odio doverti uccidere""",WARNING: ENGLISH TEXT CHANGED #####################################################
,Bearded Dragon,Bearded Dragon,Drago barbuto,WARNING: ENGLISH TEXT CHANGED #####################################################
,Bearded Dragon1,Karate practice is a way of life,Le pratiche di Karate sono uno stile di vita,WARNING: ENGLISH TEXT CHANGED #####################################################
,Blue Snail,Blue Snail,Lumaca blu, WARNING: AUTO-TRANSLATION #####################################################
,Blue Snail1,Blueberry flavor! Mmm!,Aroma di mirtilli! Mmm!, WARNING: AUTO-TRANSLATION #####################################################
,Crossbowman,Crossbowman,Balestriere,WARNING: ENGLISH TEXT CHANGED #####################################################
,Crossbowman1,Hares - Nimbler than Badgers and stronger than Rabbits. They are ideal crossbowmen in the King's army,Lepri -Più agile dei tassi e più forte dei conigli. Sono Balestrieri ideali per l’armata reale,WARNING: ENGLISH TEXT CHANGED #####################################################
,Crow Bandit,Crow Bandit,Corvo Bandito,WARNING: ENGLISH TEXT CHANGED #####################################################
,Crow Bandit1,They'll take your stuff and fly off,Prenderanno le tue cose e voleranno via,WARNING: ENGLISH TEXT CHANGED #####################################################
,Cultist Blade,Cultist Blade,Spadaccino cultista,WARNING: ENGLISH TEXT CHANGED #####################################################
,Cultist Blade1,From his hand a gold chain dangles - an idol of his leader,Dalla sua mano pende una catena d'orata – un idolo del suo leader,WARNING: ENGLISH TEXT CHANGED #####################################################
,Cultist,Cultist,Cultista,WARNING: ENGLISH TEXT CHANGED #####################################################
,Cultist1,The cult is a pathway to many unnatural abilities,Il culto è la via per poteri paranormali,WARNING: ENGLISH TEXT CHANGED #####################################################
,Elder Mage,Elder Mage,Mago anziano,WARNING: ENGLISH TEXT CHANGED #####################################################
,Elder Mage1,From his hand a gold chain dangles - an idol of his leader,Dalla sua mano pende una catena d'orata – un idolo del suo leader,WARNING: ENGLISH TEXT CHANGED #####################################################
,Ferret King,Ferret King,Sovrano dei furetti,WARNING: ENGLISH TEXT CHANGED #####################################################
,Ferret King1,He'd be kind of cute if he wasn't such a violent person,Sarebbe piuttosto carino se solo non fosse una persona così violenta,WARNING: ENGLISH TEXT CHANGED #####################################################
,Fire Gecko,Fire Gecko,Geco Incendiario,WARNING: ENGLISH TEXT CHANGED #####################################################
,Fire Gecko1,"Years of training, but no match for a magical backpack","Anni d’allenamento, ma non c’è speranza contro uno zaino magico",
,Frog Wizard,Frog Wizard,Rana mago,WARNING: ENGLISH TEXT CHANGED #####################################################
,Frog Wizard1,Frogs know about a deep magic that appears on rare Wednesdays,Le rane conoscono una magia profonda che appare in rari mercoledì,
,Gerbil Ruffian,Gerbil Ruffian,Gerbillo furfante,WARNING: ENGLISH TEXT CHANGED #####################################################
,Gerbil Ruffian1,Rumor has it that Gerbils used to be pets before the founding of Orderia. These overgrown monsters make you doubt it.,Si dice che i gerbilli fossero animali domestici prima della fondazione di Orderia. Questi mostri troppo cresciuti telo fanno dubitare.,WARNING: ENGLISH TEXT CHANGED #####################################################
,Glory Knight,Glory Knight,Cavaliere Glorioso,WARNING: ENGLISH TEXT CHANGED #####################################################
,Glory Knight1,Courageous heroes who have lost their way,Eroi coraggiosi che hanno perso la via,WARNING: ENGLISH TEXT CHANGED #####################################################
,Grandmaster,Grandmaster,Gran maestro,WARNING: ENGLISH TEXT CHANGED #####################################################
,Grandmaster1,The fires of this place will turn you to ashes,Le fiamme di questo posto ti ridurranno in cenere,WARNING: ENGLISH TEXT CHANGED #####################################################
,Hawk Knight,Hawk Knight,Falco cavaliere,WARNING: ENGLISH TEXT CHANGED #####################################################
,Hawk Knight1,Noble. Screechingly loud. Pretty annoying really,Nobile. Rumoroso. Piuttosto fastidioso,WARNING: ENGLISH TEXT CHANGED #####################################################
,Hermit Crab,Hermit Crab,Granchio eremita,WARNING: ENGLISH TEXT CHANGED #####################################################
