,rt25,Wrecked Relics,Yıkılmış Kalıntılar, WARNING: AUTO-TRANSLATION #####################################################
,rt26,Boss Rush,patron acele, WARNING: AUTO-TRANSLATION #####################################################
,rt27,Ever changing,sürekli değişen, WARNING: AUTO-TRANSLATION #####################################################
,rt28,Adaptive,uyarlanabilir, WARNING: AUTO-TRANSLATION #####################################################
,Run modifier,Run modifier,değiştiriciyi çalıştır, WARNING: AUTO-TRANSLATION #####################################################
Run Type Text,rte1,Has been completed!,Tamamlandı!, WARNING: AUTO-TRANSLATION #####################################################
,rte2b,This run was unlocked by completing:,Bu koşunun kilidi aşağıdakiler tamamlanarak açıldı:, WARNING: AUTO-TRANSLATION #####################################################
,rte2,This run is locked until you complete:,"Bu çalıştırma, siz tamamlayana kadar kilitlenir:", WARNING: AUTO-TRANSLATION #####################################################
,rte3,Locked!,Kilitli!, WARNING: AUTO-TRANSLATION #####################################################
Run Type Descriptors,rtd1,You cannot earn experience,deneyim kazanamazsın, WARNING: AUTO-TRANSLATION #####################################################
,rtd2,You start with these items. You must keep them the entire run:,Bu öğelerle başlarsınız. Onları tüm çalışma boyunca tutmalısınız:, WARNING: AUTO-TRANSLATION #####################################################
,rtd3,You can take /x items after each standard battle,Her standart savaştan sonra /x eşya alabilirsiniz, WARNING: AUTO-TRANSLATION #####################################################
,rtd4,/x to max health,/x'ten maksimum sağlığa, WARNING: AUTO-TRANSLATION #####################################################
,rtd5,/x% each time you earn xp,Her xp kazandığınızda /x%, WARNING: AUTO-TRANSLATION #####################################################
,rtd6,/x% each time you earn gold,/x% her altın kazandığınızda, WARNING: AUTO-TRANSLATION #####################################################
,rtd7,/x% to enemy health,/x% düşman sağlığına, WARNING: AUTO-TRANSLATION #####################################################
,rtd8,Backpack limited to /x spaces wide,/x boşluk genişliği ile sınırlı sırt çantası, WARNING: AUTO-TRANSLATION #####################################################
,rtd9,You can only find common and uncommon items,Yalnızca yaygın ve yaygın olmayan öğeleri bulabilirsiniz, WARNING: AUTO-TRANSLATION #####################################################
,rtd10,You start with these items:,Bu öğelerle başlarsınız:, WARNING: AUTO-TRANSLATION #####################################################
,rtd11,You cannot find these items:,Bu öğeleri bulamazsınız:, WARNING: AUTO-TRANSLATION #####################################################
,rtd12,Standard chests contain /x items,Standart sandıklar /x öğe içerir, WARNING: AUTO-TRANSLATION #####################################################
,rtd13,Enemy attacks get /x% damage,Düşman saldırıları /x% hasar alır, WARNING: AUTO-TRANSLATION #####################################################
,rtd14,You cannot find items of this type:,Bu tür öğeleri bulamazsınız:, WARNING: AUTO-TRANSLATION #####################################################
,rtd15,All weapons receive /x% bonus damage,Tüm silahlar /x% bonus hasar alır, WARNING: AUTO-TRANSLATION #####################################################
,rtd16,/x% to luck,/x% şansa, WARNING: AUTO-TRANSLATION #####################################################
,rtd17,All status effects deal damage and disappear each turn,Tüm durum etkileri hasar verir ve her turda kaybolur, WARNING: AUTO-TRANSLATION #####################################################
,rtd18,Start the game from Matthew,Oyuna Matthew'dan başlayın, WARNING: AUTO-TRANSLATION #####################################################
,rtd19,Your max health is /x,Maksimum sağlığınız /x, WARNING: AUTO-TRANSLATION #####################################################
,rtd20,Instead of standard items - find a chest after each combat,Standart öğeler yerine - her dövüşten sonra bir sandık bulun, WARNING: AUTO-TRANSLATION #####################################################
,rtd21,Instead of standard items - find a store after each combat,Standart öğeler yerine - her savaştan sonra bir mağaza bulun, WARNING: AUTO-TRANSLATION #####################################################
,rtd22,You can only find /x space items,Yalnızca /x boşluk öğelerini bulabilirsiniz, WARNING: AUTO-TRANSLATION #####################################################
,rtd23,You can only find items that are /x spaces or larger,Yalnızca /x boşluklu veya daha büyük öğeleri bulabilirsiniz, WARNING: AUTO-TRANSLATION #####################################################
,rtd24,Your energy starts at /x and increases each turn,Enerjiniz /x'te başlar ve her turda artar, WARNING: AUTO-TRANSLATION #####################################################
,rtd25,You get /x energy each turn,Her turda /x enerjisi alırsınız, WARNING: AUTO-TRANSLATION #####################################################
,rtd26,You cannot find relics,Kalıntıları bulamazsın, WARNING: AUTO-TRANSLATION #####################################################
,rtd27,There is only one floor before each boss,Her patrondan önce sadece bir kat var, WARNING: AUTO-TRANSLATION #####################################################
,rtd28,Enemies will never poison the player,Düşmanlar oyuncuyu asla zehirlemeyecek, WARNING: AUTO-TRANSLATION #####################################################
,rtd29,Don't start with standard items,Standart öğelerle başlamayın, WARNING: AUTO-TRANSLATION #####################################################
,rtd30,Items must be placed adjacent to an item of the same type or rarity. This excludes your starting items:,"Öğeler, aynı türde veya nadirlikte bir öğenin yanına yerleştirilmelidir. Bu, başlangıç ​​öğelerinizi içermez:", WARNING: AUTO-TRANSLATION #####################################################
,rtd31,Enemies will never curse the player,Düşmanlar oyuncuyu asla lanetlemeyecek, WARNING: AUTO-TRANSLATION #####################################################
,rtd32,Backpack starts at /x spaces wide,Sırt çantası /x boşluk genişliğinde başlar, WARNING: AUTO-TRANSLATION #####################################################
,rtd33,Go directly to each Boss,Doğrudan her Boss'a gidin, WARNING: AUTO-TRANSLATION #####################################################
,rtd34,Start in a room with:,Şunlarla bir odada başlayın:, WARNING: AUTO-TRANSLATION #####################################################
,rtd35,All items are replaced after each battle,Her savaştan sonra tüm eşyalar değiştirilir, WARNING: AUTO-TRANSLATION #####################################################
minigames,mini1,Spin /x gold,/x altın karşılığında çevir!,
,mini2,Spin - free,Çevir - bedava,
,mini3,Can't leave yet,Henüz ayrılamazsın,
,mini4,Finish your guess to leave,Ayrılmak için tahminini bitir,
,mini5,No more guesses!,Daha fazla tahmin hakkın yok!,
,mini6,Matching,Eşleştirme,
,mini7,You have /x guesses remaining,/x tahmin hakkın kaldı,
tutorials,tut1,In combat you click items to use them. You must defeat all enemies to continue.,Savaşta eşyaları kullanmak için onlara tıklaman gerekir. Devam etmek için bütün düşmanlarını alt etmelisin., WARNING: ENGLISH TEXT CHANGED #####################################################
,tut2,"Add all items to your backpack to continue! While holding an item, you can press right mouse or arrow keys to rotate it!",Devam etmek için bütün eşyaları sırt çantana eklemelisin! Bir eşyayı tutarken farenin sağ tuşuyla ya da ok tuşlarıyla çevirebilirsin!,
,tutCR81,Put items in the path of your core. Use your core to activate them,Öğeleri çekirdeğinizin yoluna koyun. Onları etkinleştirmek için çekirdeğinizi kullanın, WARNING: AUTO-TRANSLATION #####################################################
,tutCR82,"If multiple items are in the path, they will all be used","Yolda birden fazla öğe varsa, hepsi kullanılacaktır", WARNING: AUTO-TRANSLATION #####################################################
,tutCR83,"If an item occupies multiple spaces, it can be used multiple times","Bir öğe birden fazla boşluk kaplıyorsa, birden çok kez kullanılabilir", WARNING: AUTO-TRANSLATION #####################################################
,tutCR84,You can redirect the path of your charge,Ücretinizin yolunu yönlendirebilirsiniz, WARNING: AUTO-TRANSLATION #####################################################
,tutCR85,"If you don't have enough energy to use an item, the charge is lost. Use a splitter to divide a charge. The energy is rounded up!","Bir öğeyi kullanmak için yeterli enerjiniz yoksa, şarj kaybolur. Bir yükü bölmek için bir ayırıcı kullanın. Enerji yuvarlanır!", WARNING: AUTO-TRANSLATION #####################################################
,tutCR86,Use multiple different charges to hit the same item several times,Aynı öğeye birkaç kez vurmak için birden fazla farklı ücret kullanın, WARNING: AUTO-TRANSLATION #####################################################
,tutCR87,"Once a charge has 0 energy, it is destroyed. Use any 0 energy items first","Bir yük 0 enerjiye sahip olduğunda, yok edilir. Önce herhangi bir 0 enerji öğesini kullanın", WARNING: AUTO-TRANSLATION #####################################################
,tutCR88,Some items create charges on their own!,Bazı öğeler kendi başlarına ücret oluşturur!, WARNING: AUTO-TRANSLATION #####################################################
,tutTote1,Each turn Tote draws 3 carvings. Drag them to your bag to summon them.,Her dönüşte Tote 3 oyma çizer. Onları çağırmak için çantanıza sürükleyin., WARNING: AUTO-TRANSLATION #####################################################
,tutTote2,Some carvings can be used after they are summoned.,Bazı oymalar çağrıldıktan sonra kullanılabilir., WARNING: AUTO-TRANSLATION #####################################################
,tutTote3,Some carvings have a cost to summon - shown at the bottom of the card.,Bazı oymaların çağırma maliyeti vardır - kartın altında gösterilir., WARNING: AUTO-TRANSLATION #####################################################
,tutTote4,Discarded carvings can be drawn again. Banished carvings are removed for the rest of combat,Atılan oymalar tekrar çizilebilir. Sürgün edilen oymalar savaşın geri kalanı için kaldırıldı, WARNING: AUTO-TRANSLATION #####################################################
,tutTote5,Move carvings to your deck to collect them. Removing them later will cost money!,Onları toplamak için oymaları güverteye taşıyın. Bunları daha sonra kaldırmak paraya mal olacak!, WARNING: AUTO-TRANSLATION #####################################################
,,,,
,,,,
,,,,
enemyCards,enemyXP,You will get /x experience for defeating this enemy,Bu düşmanı alt ettiğinde /x deneyim kazanacaksın,
,enemyC,"Cowardly! Will flee if only cowardly enemies remain""","Ödlek! Eğer sadece ödlek düşmanlar kalırsa kaçacak""",
,enemyB,This enemy is a defender! Anyone behind them cannot be targeted,Bu düşman bir savunmacı! Arkalarındaki hiç kimse hedef alınamaz, WARNING: AUTO-TRANSLATION #####################################################
,enemyS,This enemy is a summon,Bu düşman çağrılmış,
,enemyHP,HP: /x / /y,HP: /x / /y,"example: ""HP: 3 / 5"""
enemies,Armadillo,Armadillo,Armadillo,
,Armadillo1,These armadillos are legendary for their defensive abilities! And their stench!,"Bu armadillolar, defansif yetenekleri açısından efsanevidir! Ve de kokuları!",
,Badger Boss,Badger Boss,Porsuk Boss,
,Badger Boss1,The Badger Boss is a true threat!,Porsuk Boss gerçek bir tehdit!,
,Badger,Badger,Porsuk,
,Badger1,You never see these guys alone. So annoying!,Bunları asla tek göremezsin. Çok sinir bozucu!,
,Bandit Lord,Bandit Lord,Haydut Lordu,
,Bandit Lord1,Isn't rebelling against authority the whole point of being a bandit?,Haydut olmanın bütün amacı otoriteye karşı gelmek değil midir?,
,Bat,Bat,Yarasa,
,Bat1,These bats don't drink... wine...,Bu yarasalar ... şarap içmiyor...,
,Blademaster,Blade Master,Kılıç Ustası,
,Blademaster1,"""You seem a decent fellow, I hate to kill you""","""Düzgün birine benziyorsun, seni öldürmeyi hiç istemiyorum""",
,Bearded Dragon,Bearded Dragon,Sakallı Ejderha,
,Bearded Dragon1,Karate practice is a way of life,Karate antrenmanı bir yaşam tarzı,
,Blue Snail,Blue Snail,mavi salyangoz, WARNING: AUTO-TRANSLATION #####################################################
,Blue Snail1,Blueberry flavor! Mmm!,Böğürtlen aroması! Mmm!, WARNING: AUTO-TRANSLATION #####################################################
,Crossbowman,Crossbowman,Arbaletçi,
,Crossbowman1,Hares - Nimbler than Badgers and stronger than Rabbits. They are ideal crossbowmen in the King's army,Yaban Tavşanları - Porsuklardan daha çevik ve tavşanlardan daha güçlü. Kralın ordusu için ideal arbaletçiler,
,Crow Bandit,Crow Bandit,Kuzgun Haydut,
,Crow Bandit1,They'll take your stuff and fly off,Eşyalarını alıp tüyecekler,
,Cultist Blade,Cultist Blade,Tarikat Savaşçısı,
,Cultist Blade1,From his hand a gold chain dangles - an idol of his leader,Elinden altın bir zincir sarkıyor - lideri için bir put,
,Cultist,Cultist,Tarikatçı,
,Cultist1,The cult is a pathway to many unnatural abilities,Tarikat doğal olmayan birçok kabiliyet için bir yol,
,Elder Mage,Elder Mage,Bilge Büyücü,
,Elder Mage1,From his hand a gold chain dangles - an idol of his leader,Elinden altın bir zincir sarkıyor - lideri için bir put,
,Ferret King,Ferret King,Gelincikler Kralı,
,Ferret King1,He'd be kind of cute if he wasn't such a violent person,Şiddet eğilimli biri olmasa tatlı biri diyebilirdim,
,Fire Gecko,Fire Gecko,Ateş Keleri,
,Fire Gecko1,"Years of training, but no match for a magical backpack","Yıllar boyu eğitim, yine de büyülü bir sırt çantasına denk değil",
,Frog Wizard,Frog Wizard,Kurbağa Büyücü,
,Frog Wizard1,Frogs know about a deep magic that appears on rare Wednesdays,"Kurbağalar, ender çarşamba günleri ortaya çıkan derin sihirden haberdar",
,Gerbil Ruffian,Gerbil Ruffian,Kabadayı Çöl Faresi,
,Gerbil Ruffian1,Rumor has it that Gerbils used to be pets before the founding of Orderia. These overgrown monsters make you doubt it.,"Bir rivayete göre çöl fareleri, Orderia kurulmadan önce evcil hayvanlarmış. Bu aşırı büyümüş canavarlar, bu rivayetin doğruluğundan şüphe ettiriyor.",
,Glory Knight,Glory Knight,Görkemli Şovalye,
,Glory Knight1,Courageous heroes who have lost their way,Yolunu kaybetmiş yürekli kahramanlar,
,Grandmaster,Grandmaster,Büyük usta,
,Grandmaster1,The fires of this place will turn you to ashes,Bu mekanın alevleri seni küle çevirecek,
,Hawk Knight,Hawk Knight,Şahin Şovalye,
,Hawk Knight1,Noble. Screechingly loud. Pretty annoying really,Asil. Cıvıl cıvıl. Bayağı bir sinir bozucu,
,Hermit Crab,Hermit Crab,Keşiş Yengeci,
,Hermit Crab1,"Sure they're crabs, but most hermits are easier to avoid","Yengeçler tabi, ama çoğu keşiş yengecinden kaçınmak daha kolay",
,Hermit Crab Mimic,Hermit Crab Mimic,Keşiş Yengeci Taklitçisi,
,Hermit Crab Mimic1,looks can be deceiving,görünüş aldatıcı olabilir,
,King,King,Kral,
,King1,"""All the world will be your enemy""","""Bütün dünya senin düşmanın olacak""",
,Lil Bee,Li'l Bee,Arıcık,
,Lil Bee1,These small bees are all drones of the queen ,Bu küçük arıların hepsi kraliçe için birer eşey, WARNING: ENGLISH TEXT CHANGED #####################################################
,Living Shadow,Living Shadow,Yaşayan Gölge,
,Living Shadow1,A dark shadow of yourself.  Doppel-get-over-it!,Kendinin karanlık bir gölgesi.  Tıpkısının aynısı!,joke
,Muskrat Brigand,Muskrat Brigand,Eşkıya Misksıçanı,
,Muskrat Brigand1,"Tiny, spiny, they'll kick you in your... face","Minik, fırıldak, tekmeyi basarlar... suratının ortasına",
,Newt,Newt,Semender,
,Newt1,Newts stay in moist areas. It's pretty nasty really,Semenderler nemli yerlerde yaşarlar. Gerçekten çok pis,
,Olm,Olm,Mağara semenderi,
,Olm1,Is it getting hot in here?,Burası biraz sıcakladı mı?,
,Pink Flower,Pink Flower,Pembe Çiçek,
,Pink Flower1,Beautiful but deadly,Güzel ama ölümcül,
,Porcupine,Porcupine ,Kirpi, WARNING: ENGLISH TEXT CHANGED #####################################################
,Porcupine1,Porcupines are usually friendly creatures. Something horrible must have happened to her,Kirpiler normalde dost canlısı yaratıklardır. Ona korkunç bir şey olmuş olmalı,
,Purple Snail,Purple Snail,mor salyangoz, WARNING: AUTO-TRANSLATION #####################################################
,Purple Snail1,Grape flavor. Delicious!,Üzüm aroması. Lezzetli!, WARNING: AUTO-TRANSLATION #####################################################
,Queen Bee,Queen Bee,Kraliçe Arı,
,Queen Bee1,The queen bee commands the armies!,Kraliçe arı ordulara hükmeder!,
,Rabbit,Rabbit,Tavşan,
,Rabbit1,The rabbit knows you are in its garden,"Tavşan, senin onun bahçesinde olduğunu biliyor",
,Ratwolf,Ratwolf,Kurtfaresi,
,Ratwolf1,"The ratwolf has long patrolled these halls, killing adventurers who stray too far","Kurtfareleri uzun süredir bu salonlarda devriye geziyor, başıboş maceraperestleri öldürüyor",
,Red Snail,Red Snail,kırmızı salyangoz, WARNING: AUTO-TRANSLATION #####################################################
,Red Snail1,Strawberry flavor!,Çilek tadı!, WARNING: AUTO-TRANSLATION #####################################################
,Repxecutioner,Repxecutioner,KerTEKleyenkele,KerTEKleyenkele
,Repxecutioner1,These lizards are known for their legendary fighting ability,Bu kertenkeleler efsanevi dövüş yeteneklerince tanınır,
