Category,Key,English,Simplified Chinese,Notes
,opt7,Screen Size,屏幕大小,
,opt8,Quality,画质,
,opt8b,Resolution,分辨率,
,opt9,Language,语言,
,opt10,Return to Menu,返回主菜单,
,opt11,Delete on Game Over,游戏失败时删除,
,opt12,No save games,无存档,
,optQQ,Group ID /x copied!,QQ群号 /x 已复制！,
,clickMe,Click me!,点这里！,
,sellHere,Drag to me to Sell,拖到这里以出售,
,removeHere,I can remove a carving - for a price,只要给笔小钱，我就能帮移除一件雕饰,
,cantSell,I don't buy those!,我不收那些东西！,
,noMoreSale,I won't take more items!,我收购不了更多东西了！,
,on,on,开,
,off,off,关,
,windowed,windowed,窗口化,
,full screen,full screen,全屏,
,borderless,borderless,无边框,
,unlimited,unlimited,无限制,
,low,low,低,
,medium,medium,中,
,high,high,高,
Item Atlas,ia1,Can only be found by:,只能通过以下方式发现：,
,ia2,Can only be found in:,只能在以下区域找到：,
context menu,cm1,View card,查看信息卡,
,cm2,Use item,使用物品,
,cm3,Use Item Max Times,最大次数使用物品,
,cm4,Reroll Items,重新抽取物品,
,cm5,Discover passage,发现密道,
,cm6,Summon enemies,召唤敌人,
,cm7,Add reward,追加奖励,
,cm8,Duplicate potion,复制药水,
,cm9,Combine potions,调和药水,
,cm10,Flip switch,拨动开关,
,cm11,Return carving,归还雕饰,
,cm12,Remove carving,移除雕饰,
gameManagerMessages,gmreo,Reorganize now to claim this item!,立刻整理背包，就可获得这件物品！,
,gm1,Finished!,已完成！,
,gm2,Must be in an empty room!,必须在空房间中才能存档！,
,gm3,Cannot save right now!,当前无法存档！,
,gm4,Complete tutorial to save!,完成教程后才能存档！,
,gm5,Cannnot save while moving!,移动时无法存档！,
,gm6,Finale,终点,
,gm7,Part /x of /y,阶段 /x / /y,
,gm8,Finished Choosing,结束选择,
,gm9,Can't take more items,无法拿走更多物品,
,gm10,Take /x items,拿走 /x 个物品,
,gm11,Take 1 item,拿走 1 个物品,
,gmb,Battle Start!,战斗开始！,
,gmpt,Player Turn!,玩家回合！,
,gmet,Enemy Turn!,敌方回合！,
,gm12,You win!,胜利！,
,gm13,Level Up!,升级！,
,gm14,Get items!,获得物品！,
,gm14b,End Battle!,结束战斗！,
,gm15,Not enough energy,能量不足,
,gm16,Any items left outside the backpack will be lost,留在背包外的物品将会遗失,
,gm17,Finished Reorganizing,结束整理,
,gm18,Save Failed!,存档失败！,
,gm19,You have been cursed!,你被诅咒了！,
,gm20,Skip curse. Take /x damage,跳过诅咒，受到 /x 点伤害,
,gm21,Choose an item,选择一件物品,
,gm22,Never Mind,还是算了,
,gm23,You must place all curses!,你必须把所有的诅咒放入包中！,
,gm24,Cannot be combined with selected item,所选物品无法调和,
,gm25,Cannot be used!,无法使用！,
,gm26,Not enough connected Mana,接通的法力不足,
,gm27,Not enough Gold,金币不足,
,gm28,No more uses this combat,本场战斗使用次数已耗尽,
,gm29,No more uses this turn,本回合使用次数已耗尽,
,gm30,No more uses,使用次数已耗尽,
,gm31,This item is disabled,此物品已失效,
,gm32,Anchored,已被固定,
,gm33,Cannot move a curse,无法移动诅咒,
,gm34,Cannot move here,无法移动到这里,
,gm35,Cannot afford,买不起,
,gm36,Cannot place here,无法放到这里,
,gm37,Finish Battle to Continue,完成战斗才能继续,
,gm38,Can't move here!,无法移动到这里！,
,gm39,Pathway blocked!,道路被堵住了！,
,gm40,Game Loaded,游戏已载入,
,gm41,Game Saved,游戏已保存,
,gmillusory,Illusory spaces can only hold carvings,虚幻空间仅可容纳雕饰,
,retry,retry,重试,
,gm42,Choose /x spaces,选择 /x 个格子, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm43,Carvings cannot be played while reorganizing,整理背包时无法使用雕饰,
,gm44,You cannot leave this item behind: ,你无法留下此物品：,
,gm45,Item has an invalid placement,物品位置无效,
,gm46,Enter text. . .,请输入文字……,
,gm47,More Game Modes,,
,gmCR81,You cannot leave your core behind,你无法留下你的核心,
,gmSatchel1,Items must be placed on a rune space!,物品必须放在符文格子内！,
,gmSatchel2,You can't move items once they're crammed in!,塞满物品后就无法移动它们了！,
,gmSatchel3,There's no space to cram it in!,没有格子可供放入！,
Tote,gmTote1,Carvings must be placed in your Backpack,雕饰必须放入背包中,
,gmTote2,Carvings in hand,雕饰堆,
,gmTote3,Discarded Carvings,已丢弃的雕饰,
,gmTote4,Banished Carvings,已排除的雕饰,
Run Types,rt1,standard,标准,
,rt1d,A basic run with no special settings!,一局没有特殊选项的基础游戏！,
,rt2,No experience,无经验,
,rt3,Bombs Away,炸出生天,
,rt4,Easy Mode,简单模式,
,rt5,Hard Mode,困难模式,
,rt5b,Hard Mode 2,困难模式 2,
,rt5c,Hard Mode 3,困难模式 3,
,rt5dd,Hard Mode 4,困难模式 4,
,rt5v5,Hard Mode 5,困难模式 5,
,rt5e,Unfair Mode,不公平模式,
,rt5f,Hard Puzzle Mode,困难解谜模式,
,rt6,Pauper Mode,一贫如洗模式,
,rt7,Glass Cannon,玻璃大炮,
,rt8,5 by 5 challenge,5X5 挑战,
,rt8b,5 by 7 challenge,5X7 挑战,
,rt9,Another way,另一种方式,
,rt10,Big Mode,庞然巨物,
,rt11,Classic Matthew,经典马修,
,rt12,Endless Dream,无尽梦魇,
,rt13,Great Pair,好事成双,
,rt14,Horrible Curse,恐怖诅咒,
,rt15,Horrible Luck,霉运缠身,
,rt16,Lethal,致命打击,
,rt17,Penny Pincher,爱财如命,
,rt18,Puzzle Mode,解谜模式,
,rt19,Quick and Easy,快速又简单,
,rt20,Scaling Energy,能量增长,
,rt21,Small Paws,小小爪子,
,rt22,Standard Energy,标准能量,
,rt23,Strong Start,赢在起跑线,
,rt24,Trash Blaster,垃圾爆破者,
,rt25,Wrecked Relics,空无遗物,
,rt26,Boss Rush,Boss车轮战,
,rt27,Ever changing,变化无穷,
,rt28,Adaptive,适者生存,
,Run modifier,Run modifier,玩法选项,
Run Type Text,rte1,Has been completed!,已通关！,
,rte2b,This run was unlocked by completing:,此玩法已解锁，因为你通关以下玩法：,
,rte2,This run is locked until you complete:,此玩法已锁定，你需要通关以下玩法：,
,rte3,Locked!,已锁定！,
Run Type Descriptors,rtd1,You cannot earn experience,你无法获得经验,
,rtd2,You start with these items. You must keep them the entire run:,开局时拥有以下物品，并且整局游戏都必须带着它们：,
,rtd3,You can take /x items after each standard battle,每场普通战斗结束后你可以拿走 /x 件物品,
,rtd4,/x to max health,你的最大血量为 /x 点,
,rtd5,/x% each time you earn xp,每次获得的经验值变为 /x%,
,rtd6,/x% each time you earn gold,每次获得的金币变为 /x%,
,rtd7,/x% to enemy health,敌人的血量变为 /x%,
,rtd8,Backpack limited to /x spaces wide,背包的宽度限制为 /x 个格子,
,rtd9,You can only find common and uncommon items,你只能找到普通和稀有的物品,
,rtd10,You start with these items:,开局时拥有以下物品：,
,rtd11,You cannot find these items:,你无法找到以下物品：,
,rtd12,Standard chests contain /x items,标准宝箱包含 /x 件物品,
,rtd13,Enemy attacks get /x% damage,敌人的攻击伤害变为 /x%,
,rtd14,You cannot find items of this type:,你无法找到以下类型的物品：,
,rtd15,All weapons receive /x% bonus damage,所有武器附获得 x% 额外伤害,
,rtd16,/x% to luck,/x% 运气,
,rtd17,All status effects deal damage and disappear each turn,所有状态效果在每回合直接造成伤害，然后消失,
,rtd18,Start the game from Matthew,从马修处开始游戏,
,rtd19,Your max health is /x,你的最大血量值为 /x 点,
,rtd20,Instead of standard items - find a chest after each combat,每场战斗后会找到一个宝箱，不再获得标准物品奖励,
,rtd21,Instead of standard items - find a store after each combat,每场战斗后会遇到一间商店，不再获得标准物品奖励,
,rtd22,You can only find /x space items,你只能找到大小是 /x 个格子的物品,
,rtd23,You can only find items that are /x spaces or larger,你只能找到大小是 /x 个格子以上的物品,
,rtd24,Your energy starts at /x and increases each turn,你的初始能量为 /x 点，每回合逐渐增加,
,rtd25,You get /x energy each turn,你每回合获得 /x 点能量,
,rtd26,You cannot find relics,你无法找到遗物,
,rtd27,There is only one floor before each boss,只需通过一层地图就会遭遇Boss,
,rtd28,Enemies will never poison the player,敌人不会对玩家施加中毒,
,rtd29,Don't start with standard items,初始开局不携带标准物品,
,rtd30,Items must be placed adjacent to an item of the same type or rarity. This excludes your starting items:,物品必须与相同类型或稀有度的物品相邻，你的初始物品例外：,
,rtd31,Enemies will never curse the player,敌人不会对玩家施加诅咒,
,rtd32,Backpack starts at /x spaces wide,背包初始宽度为 /x 个格子,
,rtd33,Go directly to each Boss,接受Boss的轮番挑战,
,rtd34,Start in a room with:,开局在一个房间中并拥有以下物品：,
,rtd35,All items are replaced after each battle,所有物品在每次战斗结束后都会被替换,
minigames,mini1,Spin /x gold,转动 [/x 枚金币],
,mini2,Spin - free,转动 [免费],
,mini3,Can't leave yet,还不能离开,
,mini4,Finish your guess to leave,猜完才能走,
,mini5,No more guesses!,不能再猜了！,
,mini6,Matching,好运成双,
,mini7,You have /x guesses remaining,你还有 /x 次机会,
tutorials,tut1,In combat you click items to use them. You must defeat all enemies to continue.,必须击败所有敌人才能继续前进，点击物品使用它们来进行战斗。,
,tut2,"Add all items to your backpack to continue! While holding an item, you can press right mouse or arrow keys to rotate it!",把所有物品放入背包里！选取一件物品时，可以点击鼠标右键或按下方向键旋转物品方向！,
,tutCR81,Put items in the path of your core. Use your core to activate them,核心在被启动后会激发充能，旋转核心朝向，将物品放在核心开口朝向的输出路径上，使用你的核心来激活它们,
,tutCR82,"If multiple items are in the path, they will all be used",如果输出路径上有多件物品，它们将被全部使用,
,tutCR83,"If an item occupies multiple spaces, it can be used multiple times",如果一件物品占据了输出路径的多个格子，它将被多次使用,
,tutCR84,You can redirect the path of your charge,你可以改变充能的路径，各个元件不相邻也可以传导充能,
,tutCR85,"If you don't have enough energy to use an item, the charge is lost. Use a splitter to divide a charge. The energy is rounded up!",如果你没有足够的能量使用某件物品，充能就会消散。使用分流器来分割充能。分割后的能量会四舍五入！,
,tutCR86,Use multiple different charges to hit the same item several times,使用多发不同的充能来多次击中同一件物品,
,tutCR87,"Once a charge has 0 energy, it is destroyed. Use any 0 energy items first",充能的能量一旦归零，它就会消散。所以请优先使用 0 耗能量的物品,
,tutCR88,Some items create charges on their own!,有些物品自身就能激发充能！,
,tutTote1,Each turn Tote draws 3 carvings. Drag them to your bag to summon them.,背包蛙每回合会抽取 3 件雕饰。 请将雕饰拖动至你的背包中来召唤它们。,
,tutTote2,Some carvings can be used after they are summoned.,有些雕饰在召唤后可以被使用。,
,tutTote3,Some carvings have a cost to summon - shown at the bottom of the card.,有些雕饰在召唤时必须支付代价，种类和数值会显示在卡片底部。,
,tutTote4,Discarded carvings can be drawn again. Banished carvings are removed for the rest of combat,已丢弃的雕饰可以被再次抽取；已排除的雕饰在本场战斗中将被暂时移除,
,tutTote5,Move carvings to your deck to collect them. Removing them later will cost money!,将雕饰拖动至你的雕饰堆上来收集它们，它们可被移除但必须消耗金钱！,
,,,,
,,,,
,,,,
enemyCards,enemyXP,You will get /x experience for defeating this enemy,击败该敌人后可获得 /x 点经验,
,enemyC,"Cowardly! Will flee if only cowardly enemies remain""",他是个胆小鬼！胆小鬼孤立无援时就会逃跑！,
,enemyB,This enemy is a defender! Anyone behind them cannot be targeted,此敌人是守卫者！ 在他身后的敌人无法被锁定,
,enemyS,This enemy is a summon,该敌人是召唤物,
,enemyHP,HP: /x / /y,血量：/x / /y,
enemies,Armadillo,Armadillo,犰狳,
,Armadillo1,These armadillos are legendary for their defensive abilities! And their stench!,这些犰狳因其出色的防御力和恶臭闻名于世！,
,Badger Boss,Badger Boss,獾老大,
,Badger Boss1,The Badger Boss is a true threat!,獾老大是个巨大的威胁！,
,Badger,Badger,獾喽啰,
,Badger1,You never see these guys alone. So annoying!,它们从不单独行动，真烦人！,
,Bandit Lord,Bandit Lord,强盗领主,
,Bandit Lord1,Isn't rebelling against authority the whole point of being a bandit?,若非被逼上梁山，谁又能落草为寇？,
,Bat,Bat,吸血蝙蝠,
,Bat1,These bats don't drink... wine...,这些蝙蝠可不是吸红酒的……,
,Blademaster,Blade Master,剑术大师,
,Blademaster1,"""You seem a decent fellow, I hate to kill you""",“你看起来是个好人，可惜就要死在这里了”,
,Bearded Dragon,Bearded Dragon,鬃狮蜥,
,Bearded Dragon1,Karate practice is a way of life,空手道乃生活之道,
,Blue Snail,Blue Snail,蓝色蜗牛,
,Blue Snail1,Blueberry flavor! Mmm!,蓝莓口味！味道好极了！,
,Crossbowman,Crossbowman,野兔弩手,
,Crossbowman1,Hares - Nimbler than Badgers and stronger than Rabbits. They are ideal crossbowmen in the King's army,野兔比獾更敏捷，比家兔更坚韧，是国王军队中理想的弩手,
,Crow Bandit,Crow Bandit,乌鸦强盗,
,Crow Bandit1,They'll take your stuff and fly off,他们会将你洗劫一空，然后拍拍翅膀扬长而去,
,Cultist Blade,Cultist Blade,异教徒刀斧手,
,Cultist Blade1,From his hand a gold chain dangles - an idol of his leader,他的手中握着一条金链子，上面挂着他们首领的小雕像,
,Cultist,Cultist,异教徒,
,Cultist1,The cult is a pathway to many unnatural abilities,异教与许多超自然力量之间有着某种联系,
,Elder Mage,Elder Mage,法师长老,
,Elder Mage1,From his hand a gold chain dangles - an idol of his leader,他的手中握着一条金链子，上面挂着他们首领的小雕像,
,Ferret King,Ferret King,雪貂国王,
,Ferret King1,He'd be kind of cute if he wasn't such a violent person,如果他不这么凶残的话，或许还是挺可爱的,
,Fire Gecko,Fire Gecko,火焰壁虎,
,Fire Gecko1,"Years of training, but no match for a magical backpack",多年来的勤学苦练，却仍不敌一个魔法背包,
,Frog Wizard,Frog Wizard,青蛙巫师,
,Frog Wizard1,Frogs know about a deep magic that appears on rare Wednesdays,青蛙们知晓一种在水曜日才会偶尔显现的神秘魔法,
,Gerbil Ruffian,Gerbil Ruffian,沙鼠恶棍,
,Gerbil Ruffian1,Rumor has it that Gerbils used to be pets before the founding of Orderia. These overgrown monsters make you doubt it.,有传言说，在奥德里亚建立之前，沙鼠曾被作为宠物饲养。但这些体型庞大的怪物让你对此深感怀疑。,
,Glory Knight,Glory Knight,荣耀骑士,
,Glory Knight1,Courageous heroes who have lost their way,早已误入歧途的勇敢英雄们,
,Grandmaster,Grandmaster,壁虎宗师,
,Grandmaster1,The fires of this place will turn you to ashes,此地的烈火将把你烧成灰烬,
,Hawk Knight,Hawk Knight,雄鹰骑士,
,Hawk Knight1,Noble. Screechingly loud. Pretty annoying really,趾高气昂。叫声刺耳。相当令人讨厌,
,Hermit Crab,Hermit Crab,寄居蟹,
,Hermit Crab1,"Sure they're crabs, but most hermits are easier to avoid",它们本质上是螃蟹，可不像隐士那么少见。,
,Hermit Crab Mimic,Hermit Crab Mimic,寄居蟹拟态怪,
,Hermit Crab Mimic1,looks can be deceiving,外表极具欺骗性,
,King,King,国王,
,King1,"""All the world will be your enemy""",“方寸之间，人尽敌国”,
,Lil Bee,Li'l Bee,小蜜蜂,
,Lil Bee1,These small bees are all drones of the queen ,这些小家伙都是蜂后手下的雄蜂,
,Living Shadow,Living Shadow,活影,
,Living Shadow1,A dark shadow of yourself.  Doppel-get-over-it!,你的影子想要翻身做主。快用无-影-手！,
,Muskrat Brigand,Muskrat Brigand,麝鼠土匪,
,Muskrat Brigand1,"Tiny, spiny, they'll kick you in your... face",身材小小，浑身尖刺，小腿一蹬，踹你一脸,
,Newt,Newt,蝾螈,
,Newt1,Newts stay in moist areas. It's pretty nasty really,蝾螈栖息在潮湿的地方。浑身粘液，恶心极了,
,Olm,Olm,洞螈,
,Olm1,Is it getting hot in here?,这里是不是就要热起来了？,
,Pink Flower,Pink Flower,粉红花朵,
,Pink Flower1,Beautiful but deadly,美丽却又致命,
,Porcupine,Porcupine ,豪猪,
,Porcupine1,Porcupines are usually friendly creatures. Something horrible must have happened to her,豪猪通常是种友善的动物。她一定经历了什么糟糕的事情,
,Purple Snail,Purple Snail,紫色蜗牛,
,Purple Snail1,Grape flavor. Delicious!,葡萄口味！真美味！,
,Queen Bee,Queen Bee,蜂后,
,Queen Bee1,The queen bee commands the armies!,蜂后统率着蜂群大军！,
,Rabbit,Rabbit,兔子,
,Rabbit1,The rabbit knows you are in its garden,兔子察觉到你闯进了它的花园,
,Ratwolf,Ratwolf,鼠狼,
,Ratwolf1,"The ratwolf has long patrolled these halls, killing adventurers who stray too far",鼠狼在这些大厅里梭巡，誓要杀死那些胆敢进犯的冒险者。,
,Red Snail,Red Snail,红色蜗牛,
,Red Snail1,Strawberry flavor!,鲜甜的草莓口味！,
,Repxecutioner,Repxecutioner,蜥蜴行刑者,
,Repxecutioner1,These lizards are known for their legendary fighting ability,这些蜥蜴因出色的战斗能力而闻名,
,Rude Rooster,Rude Rooster,粗野雄鸡,
,Rude Rooster1,This guy punched through his shell at 20 days old,这家伙在二十天大时，就一拳打碎了自己的蛋壳,
,Sable,Sable,黑貂,
,Sable1,Sables are fierce predators,黑貂是凶猛的捕食者,
,Sage Toad,Sage Toad,蟾蜍贤者,
,Sage Toad1,Wise toads are no one to be trifled with. That is all you need to know,你要牢记，聪明的蟾蜍可不是好惹的,
,Salamander,Salamander,火蜥蜴,
,Salamander1,"Wary, powerful, dignified, really long tongue",谨慎、强大、高贵，舌头很长,
,Skink,Skink,石龙子,
,Skink1,"Skinks appear silently, sneaking digits snap up treasures from the unsuspecting",石龙子悄无声息地出现，悄悄地从毫无戒心的人手中抢走宝物,
,Green Snail,Green Snail,绿色蜗牛,
,Green Snail1,These goopy creatures make you feel sick!,这些黏糊糊的生物令人作呕！,
,Small Ratwolf,Small Ratwolf,小鼠狼,
,Small Ratwolf1,The smaller version of the ratwolves that patrol the upper layers of the dungeon,在地牢上层巡逻的迷你版鼠狼,
,Snake,Snake,蛇,
,Snake1,"Poisonous, Dangerous, keep them away from planes",有毒有害，狂蟒之灾,
,Speaker,Speaker,传喻者,
,Speaker1,The speaker interprets the will of the Dark Lady,传喻者会传达黑暗夫人的旨意,
,Travelling Warrior,Travelling Warrior,流浪佣兵,
,Travelling Warrior1,"Known for their fast movement and defensive abilities, these rogues are dangerous! Watch out!",这些恶棍以其快速移动能力和出色的防御力而闻名，非常危险！要当心！,
,Turtle,Turtle,乌龟,
,Turtle1,Their shells are hard. Their hearts are even harder.,龟壳硬邦邦，龟心邦邦硬。,
,Vole,Vole,田鼠,
,Vole1,Voles are notorious for walking off with anything that isn't nailed down,它们臭名远扬，所到之处寸草不留,
,White Flower,White Flower,白色花朵,
,White Flower1,Beautiful but deadly,美丽却又致命,
,Hologram,Hologram,全息影像,
,Hologram1,Made for testing CR-8's newest systems!,专为测试 CR-8 的最新系统而打造！,
,Glory Hunter,Glory Hunter,荣耀猎手,
,Glory Hunter1,Courageous heroes who have lost their way,早已误入歧途的勇敢英雄们,
,Ultra Knight,Ultra Knight,超级骑士,
,Ultra Knight1,the ultimate machine - perfectly crafted and impervious to all damage!,终极机器——精心研制，无惧任何伤害！,
,Legman,Legman,钢腿鼠,
,Legman1,He never skips leg day,他从不缺席练腿日,
,The Muscle,The Muscle,肌肉鼠,
,The Muscle1,He'll do anything the Head Honcho demands!,他会服从头目鼠的任何要求！,
,Head Honcho,Head Honcho,头目鼠,
,Head Honcho1,"""Me order! Me Master! I run this dungeon!""",我下令！我主宰！地牢里我说了算！,
,Nightblade,Nightblade,夜刃,
,Nightblade1,Elite guards of the College of Dreams who have betrayed the Sacred Trees,背叛圣树的梦之学院精锐卫士,
,Hermit Crab Bomb,Hermit Crab Bomb,炸弹寄居蟹,
,Hermit Crab Bomb1,"When the Blue Hermit Crab outgrows its shell it explodes, and it goes off in search of a new piece of junk to call home",当蓝色寄居蟹的旧壳太小时，它就会爆炸，然后它会去寻找一块垃圾来当新家,
,Sentry,Sentry,哨兵,
,Sentry1,01001101 01101111 01101110 01100001 01100100,01001101 01101111 01101110 01100001 01100100,
,Hare Defender,Hare Defender,野兔守卫者,
,Hare Defender1,The front line of the Badger Kingdoms army never let their back line fall,獾王国军队的前线战士从不让他们的后线受敌,
,Scarecrow,Scarecrow,稻草人,
,Scarecrow1,Built with wood from the Mother Tree to guide you in your travels,精选母树上的枝条制作，用来指引你踏上旅途,
,Cobra,Cobra,眼镜蛇,
,Cobra1,"Strike First, Strike Hard, No Mercy.",先出手，使全力，毫不留情。,
,Honey Guide,Honey Guide,蜂蜜向导,
,Honey Guide1,"He keeps the Badger calm. If he's gone, the Badger may go crazy",他让能够让蜜獾保持冷静。要是没有他，蜜獾可能会发疯,
,Honey Badger,Honey Badger,蜜獾,
,Honey Badger1,So peaceful and calm!,如此安定祥和！,
,Feral Badger,Feral Badger,恶獾,
,Feral Badger1,He's unleashed!,野性会撕碎一切！,
,Boastful Spellsword,Boastful Spellsword,自负的魔剑士,
,Boastful Spellsword1,He thinks he's stronger than he is,他自视甚高,
enemy actions,ea1,Will attack for /x damage,即将攻击，造成 /x 点伤害,
,ea1a,Will attack all enemies for /x damage,即将攻击所有敌人，造成 /x 点伤害,
,ea2,Will add /x block,即将叠加 /x 点格挡值,
,ea2a,Will add /x block to all enemies,即将对所有敌人叠加 /x 点格挡值,
,ea3,Will heal for /x,即将回复 /x 点血量,
,ea3a,Will heal all enemies for /x,即将对所有敌人回复 /x 点血量,
,ea4,Will not take any action,不会采取任何行动,
,ea5,Will add /x poison,即将施加 /x 层中毒,
,ea6,Will add /x burn,即将施加 /x 层灼烧,
,ea7,Will add /x regeneration,即将叠加 /x 层再生,
,ea7a,Will add /x regeneration to all enemies,即将对所有敌人叠加 /x 层再生,
,ea8,Will add /x spikes,即将叠加 /x 层尖刺,
,ea8a,Will add /x spikes to all enemies,即将对所有敌人叠加 /x 层尖刺,
,ea9,Will add /x dodge,即将叠加 /x 层闪避,
,ea9a,Will add /x dodge to all enemies,即将对所有敌人叠加 /x 层闪避,
,ea10,Will add /x slow,即将施加 /x 层缓速,
,ea11,Will add /x weak,即将施加 /x 层虚弱,
,ea12,Will summon an enemy,即将召唤一名敌人,
,ea13,Will deal /x vampirism,即将造成 /x 点吸血伤害,
,ea14,Will add one of these curses:,即将施加以下随机一种诅咒：,
,ea15,"Will self destruct, dealing /x damage",即将自毁，造成 /x 点伤害,
,ea16,Will add /x haste,即将叠加 /x 层疾速,
,ea16a,Will add /x haste to all enemies,即将对所有敌人叠加 /x 层疾速,
,ea17,Will add /x rage,即将叠加 /x 层狂怒,
,ea17a,Will add /x rage to all enemies,即将对所有敌人叠加 /x 层狂怒,
,ea18,Poison sickness!,有毒瘟疫！,
,ea19,Will run away!,即将逃跑！,
,,,,
Levels,The Crypt,The Crypt,阴暗地穴,
,The Bramble,The Bramble,荆棘丛林,
,Deep Cave,Deep Cave,深邃洞窟,
,Enchanted Swamp,Enchanted Swamp,魔法沼泽,
,Magma Core,Magma Core,岩浆核心,
map events,map1,Enemies here:,此处的敌人：,
,map2,Exit to: /x,前往：/x,
,map3,A chest of valuables!,有一箱财宝！,
,map4,An unknown event is here!,有一个未知事件！,
,map5,A merchant is selling goods here!,有一名商人在卖东西！,
,map6,A locked door! I need a key!,是一扇上锁的门！我需要一把钥匙！,
,map7,A healer!,有一名治疗师！,
,map8,A forge!,一间铁匠铺！,
,map9,A vision of danger!,一道危险的幻视！,
,mapPurse,There I am! I have been doodling on the map,我来了！我一直在地图上涂鸦！,
,mapSatchel,That's me! I think I spilled some coffee on the map,糟糕！我好像把咖啡洒到地图上了,
,mapTote,Thank goodness I remembered my glasses!,谢天谢地，我没忘记戴眼镜！,
,mapCR8,Position identified. Subroutine parameters: hoard loot,地点已识别……子程序参数：囤积战利品,
character select,characterSelect,Character Select,选择角色,
,satchel,satchel,挎包鸭,
,satchel1,"Satchel is the son of a noble bird on the run from the evil King Corvus, the Crow King! With his bag ripped and town captured, Satchel seeks the help of other heroes, and to discover the mystery of the Spiral of Feathers - in hopes of fixing his bag and saving his home!",挎包鸭诞生于贵族世家，为了躲避邪恶的乌鸦国王追杀而四处奔波。他的背包被撕破，小镇也已沦陷，挎包鸭正寻求一位英雄出手相助。找到神秘的螺旋羽毛，修复背包，拯救他的家园！,
,purse,purse,钱包鼠,
,purse1,"A peppy rat from a poor village in Oakshire Forest, she aims to storm the dungeon, rebuild her village, and save her family!",一只活泼的小老鼠，来自橡树郡森林里一个贫穷的小村庄，她的目标是勇闯地牢，重建村庄，拯救家人！,
,tote,tote,背包蛙,
,tote1,"Banished by the elder frogs, her backpack is blessed by the Dreaming Tree. Magical carvings spawn each turn she is in danger.",被青蛙长老放逐后，她的背包阴差阳错地得到了幻梦之树的祝福。当她身陷危险时，每回合都会生成魔法雕饰。,
,CR-8,CR-8,CR-8,
,CR-81,"When you can't find a hero, you gotta make one! CR-8 is a mishmash of metal and nerd stuff that will take care of any enemy automatically - provided his circuitry is properly organized.",没有英雄时，我们就创造英雄！CR-8是一个于金属和疯狂科技之中诞生的产物。只要电路安排妥当，它就会自动对付任何敌人。,
Events,,,,///////////////I is intros and f is farewells
,evg,/x gold,/x 枚金币,
,chest,chest,宝箱,
,,,,
,evtn,Welcome to the dungeon!,欢迎来到地牢！,
,evto1,You must conquer the dungeon by delving deep to the center to discover the ancient cheeses hidden there. You are armed only with your magic backpack.,为了寻找被藏匿的远古奶酪，你必须前往地牢深处。路途艰险，只有魔法背包与你作伴。,
,evtb1,I'm ready!,我准备好了！,
,evtb1o1,"You head into the dungeon, knowing very few make it back alive!",你义无反顾地走进地牢，明知前路九死一生！,
,,,,
,evten,The end?,结束了吗？,
,evteo1,You have made it to the center of the dungeon and have found the golden cheese! More content is coming! Please join our discord and show off your  backpack!,你抵达了地牢中心，找到了黄金奶酪！更多内容即将到来！加入我们的官方QQ群：735011723，向大家秀秀你的背包吧！,
