,removeHere,I can remove a carving - for a price,Tuto řezbu mohu odstranit ale bude tě to něco stát, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,cantSell,I don't buy those!,Tyhle nekupuji!, WARNING: AUTO-TRANSLATION #####################################################
,noMoreSale,I won't take more items!,Víc už toho nekoupím!, WARNING: ENGLISH TEXT CHANGED #####################################################
,on,on,zapnuto,
,off,off,vypnuto,
,windowed,windowed,v okně,
,full screen,full screen,celá obrazovka,
,borderless,borderless,bez okrajů,
,unlimited,unlimited,neomezeně,
,low,low,nízká,
,medium,medium,střední,
,high,high,vysoká,
Item Atlas,ia1,Can only be found by:,Lze najít pouze:, WARNING: AUTO-TRANSLATION #####################################################
,ia2,Can only be found in:,Lze nalézt pouze v:, WARNING: AUTO-TRANSLATION #####################################################
context menu,cm1,View card,Zobrazit kartu, WARNING: AUTO-TRANSLATION #####################################################
,cm2,Use item,Použij předmět, WARNING: AUTO-TRANSLATION #####################################################
,cm3,Use Item Max Times,Použijte předmět co nejvíc jde, WARNING: AUTO-TRANSLATION #####################################################
,cm4,Reroll Items,Dostat jiné předměty, WARNING: AUTO-TRANSLATION #####################################################
,cm5,Discover passage,Objevte průchod, WARNING: AUTO-TRANSLATION #####################################################
,cm6,Summon enemies,Vyvolejte nepřátele, WARNING: AUTO-TRANSLATION #####################################################
,cm7,Add reward,Přidat odměnu, WARNING: AUTO-TRANSLATION #####################################################
,cm8,Duplicate potion,Duplicitní lektvar, WARNING: AUTO-TRANSLATION #####################################################
,cm9,Combine potions,Spojte lektvary, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,cm10,Flip switch,přepnout spínač, WARNING: AUTO-TRANSLATION #####################################################
,cm11,Return carving,Zpětné řezbářství, WARNING: AUTO-TRANSLATION #####################################################
,cm12,Remove carving,Odstraňte řezbu, WARNING: AUTO-TRANSLATION #####################################################
gameManagerMessages,gmreo,Reorganize now to claim this item!,Přeskládej a získej tento předmět!,
,gm1,Finished!,Dokončeno!,
,gm2,Must be in an empty room!,Musíš být v prázné místnosti!,
,gm3,Cannot save right now!,Teď nemůžeš uložit!,
,gm4,Complete tutorial to save!,Dokonči výuku pro ukládání!,
,gm5,Cannnot save while moving!,Nemůžeš uložit v pohybu!,
,gm6,Finale,Finále,
,gm7,Part /x of /y,Část /x z /y,
,gm8,Finished Choosing,Dokončit výběr,
,gm9,Can't take more items,Víc předmětů neuneseš,
,gm10,Take /x items,Vezmi /x předměty,
,gm11,Take 1 item,Vezmi 1 předmět,
,gmb,Battle Start!,Souboj Začíná!,
,gmpt,Player Turn!,Tvoje kolo!,
,gmet,Enemy Turn!,Kolo Nepřítele!,
,gm12,You win!,Vyhrál jsi!,
,gm13,Level Up!,Level Up!,
,gm14,Get items!,Dostat předměty!,
,gm14b,End Battle!,Konec Souboje!, WARNING: AUTO-TRANSLATION #####################################################
,gm15,Not enough energy,Nedostatek energie,
,gm16,Any items left outside the backpack will be lost,Všechny předměty mimo batoh budou ztraceny,
,gm17,Finished Reorganizing,Dokončit Přeskládání,
,gm18,Save Failed!,Uložení se nezdařilo!,
,gm19,You have been cursed!,Byl jsi proklet!,
,gm20,Skip curse. Take /x damage,Přeskočit kletbu. Obětovat /x zdraví,
,gm21,Choose an item,Vyber si předmět,
,gm22,Never Mind,Zahodit,as a response when not selecting an item
,gm23,You must place all curses!,Musíš umístit všechny kletby!,
,gm24,Cannot be combined with selected item,Nemůže být spojeno s vybraným předmětem,
,gm25,Cannot be used!,Nemůže být použito!,
,gm26,Not enough connected Mana,nedostatek připojené Many,
,gm27,Not enough Gold,Nedostatek Mincí,
,gm28,No more uses this combat,Žádné další použití tento souboj,
,gm29,No more uses this turn,Žádné další použití toto kolo,
,gm30,No more uses,Žádné další použití,
,gm31,This item is disabled,Tento předmět je zamčený,
,gm32,Anchored,Přikotven,
,gm33,Cannot move a curse,S kletbou nemůžeš pohnout,
,gm34,Cannot move here,Sem nemůžeš přesunout,
,gm35,Cannot afford,Namůžeš si to dovolit,
,gm36,Cannot place here,Zde nemůžeš položit,
,gm37,Finish Battle to Continue,Dokonči souboj pro pokračování,
,gm38,Can't move here!,Nemůžeš sem dojít!,
,gm39,Pathway blocked!,Cesta zablokována!,
,gm40,Game Loaded,Hra Načtena,
,gm41,Game Saved,Hra Uložena,
,gmillusory,Illusory spaces can only hold carvings,Iluzorní prostory mohou obsahovat pouze řezby, WARNING: AUTO-TRANSLATION #####################################################
,retry,retry,zkusit znovu,
,gm42,Choose /x spaces,Vyber /x pole, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm43,Carvings cannot be played while reorganizing,Řezby nelze zahrát během přeskládání, WARNING: AUTO-TRANSLATION #####################################################
,gm44,You cannot leave this item behind: ,Tuto položku si nemůžete nevzít:, WARNING: AUTO-TRANSLATION #####################################################
,gm45,Item has an invalid placement,Předmět má špatné umístění, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm46,Enter text. . .,Zadejte text. . ., WARNING: AUTO-TRANSLATION #####################################################
,gm47,More Game Modes,Více herních režimů, WARNING: AUTO-TRANSLATION #####################################################
,gmCR81,You cannot leave your core behind,Nezapomeň si jádro!, WARNING: AUTO-TRANSLATION #####################################################
,gmSatchel1,Items must be placed on a rune space!,Items must be placed on a rune space!,
,gmSatchel2,You can't move items once they're crammed in!,You can't move items once they're crammed in!,
,gmSatchel3,There's no space to cram it in!,There's no space to cram it in!,
Tote,gmTote1,Carvings must be placed in your Backpack,Řezby musí být umístěny ve vašem batohu, WARNING: AUTO-TRANSLATION #####################################################
,gmTote2,Carvings in hand,Řezby v ruce, WARNING: AUTO-TRANSLATION #####################################################
,gmTote3,Discarded Carvings,Vyhozené řezby, WARNING: AUTO-TRANSLATION #####################################################
,gmTote4,Banished Carvings,Vyřazené řezby, WARNING: AUTO-TRANSLATION #####################################################
Run Types,rt1,standard,Standard, WARNING: AUTO-TRANSLATION #####################################################
,rt1d,A basic run with no special settings!,Základní dobrodružství bez speciálních nastavení!, WARNING: AUTO-TRANSLATION #####################################################
,rt2,No experience,Bez zkušeností, WARNING: AUTO-TRANSLATION #####################################################
,rt3,Bombs Away,Výbušná Hra, WARNING: AUTO-TRANSLATION #####################################################
,rt4,Easy Mode,Lehká Hra, WARNING: AUTO-TRANSLATION #####################################################
,rt5,Hard Mode,Těžká hra, WARNING: AUTO-TRANSLATION #####################################################
,rt5b,Hard Mode 2,Těžká hra 2, WARNING: AUTO-TRANSLATION #####################################################
,rt5c,Hard Mode 3,Těžká hra 3, WARNING: AUTO-TRANSLATION #####################################################
,rt5dd,Hard Mode 4,Těžká hra 4, WARNING: AUTO-TRANSLATION #####################################################
,rt5v5,Hard Mode 5,Těžká hra 5, WARNING: AUTO-TRANSLATION #####################################################
,rt5e,Unfair Mode,Nespravedlivá hra, WARNING: AUTO-TRANSLATION #####################################################
,rt5f,Hard Puzzle Mode,MegaMegamysl, WARNING: AUTO-TRANSLATION #####################################################
,rt6,Pauper Mode,Hra na Žebráka, WARNING: AUTO-TRANSLATION #####################################################
,rt7,Glass Cannon,Skleněné dělo, WARNING: AUTO-TRANSLATION #####################################################
,rt8,5 by 5 challenge,Výzva 5 na 5, WARNING: AUTO-TRANSLATION #####################################################
,rt8b,5 by 7 challenge,Výzva 5 na 7, WARNING: AUTO-TRANSLATION #####################################################
,rt9,Another way,Prazvláštní metody, WARNING: AUTO-TRANSLATION #####################################################
,rt10,Big Mode,Velké tlapy, WARNING: AUTO-TRANSLATION #####################################################
,rt11,Classic Matthew,Ten náš Matěj, WARNING: AUTO-TRANSLATION #####################################################
,rt12,Endless Dream,Nekonečný sen, WARNING: AUTO-TRANSLATION #####################################################
,rt13,Great Pair,Honba za pokladem, WARNING: AUTO-TRANSLATION #####################################################
,rt14,Horrible Curse,Krutá kletba, WARNING: AUTO-TRANSLATION #####################################################
,rt15,Horrible Luck,Prokleté štěstí, WARNING: AUTO-TRANSLATION #####################################################
,rt16,Lethal,Smrtící, WARNING: AUTO-TRANSLATION #####################################################
,rt17,Penny Pincher,Držgrešle, WARNING: AUTO-TRANSLATION #####################################################
,rt18,Puzzle Mode,Megamysl, WARNING: AUTO-TRANSLATION #####################################################
,rt19,Quick and Easy,Rychle a snadně, WARNING: AUTO-TRANSLATION #####################################################
,rt20,Scaling Energy,Škálování energie, WARNING: AUTO-TRANSLATION #####################################################
,rt21,Small Paws,Malé tlapky, WARNING: AUTO-TRANSLATION #####################################################
,rt22,Standard Energy,Standardní energie, WARNING: AUTO-TRANSLATION #####################################################
,rt23,Strong Start,Silný start, WARNING: AUTO-TRANSLATION #####################################################
,rt24,Trash Blaster,Odpadkové dělo, WARNING: AUTO-TRANSLATION #####################################################
,rt25,Wrecked Relics,Kde jsou Relikvie?, WARNING: AUTO-TRANSLATION #####################################################
,rt26,Boss Rush,Boss Rush, WARNING: AUTO-TRANSLATION #####################################################
,rt27,Ever changing,Stáleseměnící, WARNING: AUTO-TRANSLATION #####################################################
,rt28,Adaptive,Adaptivní, WARNING: AUTO-TRANSLATION #####################################################
,Run modifier,Run modifier,modifikace režimu, WARNING: AUTO-TRANSLATION #####################################################
Run Type Text,rte1,Has been completed!,Bylo dokončeno!, WARNING: AUTO-TRANSLATION #####################################################
,rte2b,This run was unlocked by completing:,Tento běh byl odemčen dokončením:, WARNING: AUTO-TRANSLATION #####################################################
,rte2,This run is locked until you complete:,"Tento běh je uzamčen, dokud nedokončíte:", WARNING: AUTO-TRANSLATION #####################################################
,rte3,Locked!,Zamčeno!, WARNING: AUTO-TRANSLATION #####################################################
Run Type Descriptors,rtd1,You cannot earn experience,Nemůžete získat zkušenosti, WARNING: AUTO-TRANSLATION #####################################################
,rtd2,You start with these items. You must keep them the entire run:,Začněte s těmito předměty. Musíte si je ponechat po celou dobu dobrodružství:, WARNING: AUTO-TRANSLATION #####################################################
,rtd3,You can take /x items after each standard battle,Po každé standardní bitvě si můžete vzít /x předmětů, WARNING: AUTO-TRANSLATION #####################################################
,rtd4,/x to max health,/x k maximálnímu zdraví, WARNING: AUTO-TRANSLATION #####################################################
,rtd5,/x% each time you earn xp,"/x% pokaždé, když získáte xp", WARNING: AUTO-TRANSLATION #####################################################
,rtd6,/x% each time you earn gold,"/x% pokaždé, když vyděláte mince", WARNING: AUTO-TRANSLATION #####################################################
,rtd7,/x% to enemy health,/x% ke zdraví nepřítele, WARNING: AUTO-TRANSLATION #####################################################
,rtd8,Backpack limited to /x spaces wide,Batoh je omezen na šířku /x míst, WARNING: AUTO-TRANSLATION #####################################################
,rtd9,You can only find common and uncommon items,Můžete najít pouze běžné a pozoruhodné předměty, WARNING: AUTO-TRANSLATION #####################################################
,rtd10,You start with these items:,Začnete s těmito předměty:, WARNING: AUTO-TRANSLATION #####################################################
,rtd11,You cannot find these items:,Nemůžete najít tyto položky:, WARNING: AUTO-TRANSLATION #####################################################
,rtd12,Standard chests contain /x items,Standardní truhly obsahují /x předmětů, WARNING: AUTO-TRANSLATION #####################################################
,rtd13,Enemy attacks get /x% damage,Nepřátelské útoky získají /x% poškození, WARNING: AUTO-TRANSLATION #####################################################
,rtd14,You cannot find items of this type:,Nemůžete najít předměty tohoto typu:, WARNING: AUTO-TRANSLATION #####################################################
,rtd15,All weapons receive /x% bonus damage,Všechny zbraně obdrží /x% bonusového poškození, WARNING: AUTO-TRANSLATION #####################################################
,rtd16,/x% to luck,/x% ke štěstí, WARNING: AUTO-TRANSLATION #####################################################
,rtd17,All status effects deal damage and disappear each turn,Všechny efekty způsobí poškození a zmizí každé kolo, WARNING: AUTO-TRANSLATION #####################################################
,rtd18,Start the game from Matthew,Spusťte hru od Matěje, WARNING: AUTO-TRANSLATION #####################################################
,rtd19,Your max health is /x,Vaše maximální zdraví je /x, WARNING: AUTO-TRANSLATION #####################################################
,rtd20,Instead of standard items - find a chest after each combat,Místo standardních předmětů - po každém boji najdete truhlu, WARNING: AUTO-TRANSLATION #####################################################
,rtd21,Instead of standard items - find a store after each combat,Místo standardních předmětů - po každém boji najdete obchod, WARNING: AUTO-TRANSLATION #####################################################
,rtd22,You can only find /x space items,Můžete najít pouze /x prostorové předměty, WARNING: AUTO-TRANSLATION #####################################################
,rtd23,You can only find items that are /x spaces or larger,"Můžete najít pouze předměty, které mají /x polí nebo větší", WARNING: AUTO-TRANSLATION #####################################################
,rtd24,Your energy starts at /x and increases each turn,Vaše energie začíná na /x a každým tahem se zvyšuje, WARNING: AUTO-TRANSLATION #####################################################
,rtd25,You get /x energy each turn,Každé kolo získáte /x energie, WARNING: AUTO-TRANSLATION #####################################################
,rtd26,You cannot find relics,Nemůžete najít relikvie, WARNING: AUTO-TRANSLATION #####################################################
,rtd27,There is only one floor before each boss,Před každým bossem je pouze jedno patro, WARNING: AUTO-TRANSLATION #####################################################
,rtd28,Enemies will never poison the player,Nepřátelé hráče nikdy neotráví, WARNING: AUTO-TRANSLATION #####################################################
,rtd29,Don't start with standard items,Nezačínejte se standardními předměty, WARNING: AUTO-TRANSLATION #####################################################
,rtd30,Items must be placed adjacent to an item of the same type or rarity. This excludes your starting items:,Předměty musí být umístěny vedle předmětu stejného typu nebo vzácnosti. To nezahrnuje vaše výchozí položky:, WARNING: AUTO-TRANSLATION #####################################################
,rtd31,Enemies will never curse the player,Nepřátelé nikdy nesešlou kletbu, WARNING: AUTO-TRANSLATION #####################################################
,rtd32,Backpack starts at /x spaces wide,Batoh začíná na šířku /x polí, WARNING: AUTO-TRANSLATION #####################################################
,rtd33,Go directly to each Boss,Jděte přímo ke každému Bossovi, WARNING: AUTO-TRANSLATION #####################################################
,rtd34,Start in a room with:,Začněte v místnosti s:, WARNING: AUTO-TRANSLATION #####################################################
,rtd35,All items are replaced after each battle,Všechny předměty jsou po každé bitvě vyměněny, WARNING: AUTO-TRANSLATION #####################################################
minigames,mini1,Spin /x gold,Zatočit /x mincemi,
,mini2,Spin - free,Zatočit - zdarma,
,mini3,Can't leave yet,Ještě nemůžeš odejít,
,mini4,Finish your guess to leave,Dohádej abys mohl odejít,
,mini5,No more guesses!,Už nemáš pokusy!,
,mini6,Matching,Shoda,
,mini7,You have /x guesses remaining,Máš ještě /x pokusů,
tutorials,tut1,In combat you click items to use them. You must defeat all enemies to continue.,V souboji použiješ předměty kliknutím. Poraz všechny nepřátele abys mohl pokračovat.,
,tut2,"Add all items to your backpack to continue! While holding an item, you can press right mouse or arrow keys to rotate it!",Vezmi všechny předměty do batohu pro pokračování! Když předmět držíš zmáčkni pravé tlačítko nebo šipky abys ho otočil!,Vezmi všechny předměty do batohu pro pokračování! Když předmět držíš WARNING: ENGLISH TEXT CHANGED #####################################################
,tutCR81,Put items in the path of your core. Use your core to activate them,Dejte předměty do cesty svému jádru. Použijte své jádro k jejich aktivaci, WARNING: AUTO-TRANSLATION #####################################################
,tutCR82,"If multiple items are in the path, they will all be used","Pokud je v cestě víc předmětů, použijí se všechny", WARNING: AUTO-TRANSLATION #####################################################
,tutCR83,"If an item occupies multiple spaces, it can be used multiple times","Pokud předmět zabírá více míst, lze ho použít vícekrát", WARNING: AUTO-TRANSLATION #####################################################
,tutCR84,You can redirect the path of your charge,Cestu náboje lze přesměrovat, WARNING: AUTO-TRANSLATION #####################################################
,tutCR85,"If you don't have enough energy to use an item, the charge is lost. Use a splitter to divide a charge. The energy is rounded up!","Pokud nemáš dostatek energie k použití předmětu, náboj se ztratí. K rozdělení náboje použij rozdělovač. Energie je zaokrouhlena nahoru!", WARNING: AUTO-TRANSLATION #####################################################
,tutCR86,Use multiple different charges to hit the same item several times,"Použijte několik různých nábojů, abyste několikrát zasáhli stejný předmět", WARNING: AUTO-TRANSLATION #####################################################
,tutCR87,"Once a charge has 0 energy, it is destroyed. Use any 0 energy items first","Jakmile má náboj nulovou energii, je ztracen. Nejprve použijtepředměty s nulovou energií", WARNING: AUTO-TRANSLATION #####################################################
,tutCR88,Some items create charges on their own!,Některé předměty vytvářejí náboj samy o sobě!, WARNING: AUTO-TRANSLATION #####################################################
,tutTote1,Each turn Tote draws 3 carvings. Drag them to your bag to summon them.,Každé kolo si Tote vylosuje 3 řezby. Přetáhněte je do tašky a přivolejte je., WARNING: AUTO-TRANSLATION #####################################################
,tutTote2,Some carvings can be used after they are summoned.,Některé řezby mohou být použity po jejich vyvolání., WARNING: AUTO-TRANSLATION #####################################################
,tutTote3,Some carvings have a cost to summon - shown at the bottom of the card.,Některé řezbářské práce mají cenu za vyvolání – uvedenou ve spodní části karty., WARNING: AUTO-TRANSLATION #####################################################
,tutTote4,Discarded carvings can be drawn again. Banished carvings are removed for the rest of combat,Vyřazené řezbářské práce lze znovu nakreslit. Vyhoštěné rytiny jsou odstraněny po zbytek boje, WARNING: AUTO-TRANSLATION #####################################################
,tutTote5,Move carvings to your deck to collect them. Removing them later will cost money!,Přesuňte rytiny na svůj balíček a sbírejte je. Jejich pozdější odstranění bude stát peníze!, WARNING: AUTO-TRANSLATION #####################################################
,,,,
,,,,
,,,,
enemyCards,enemyXP,You will get /x experience for defeating this enemy,Za poražení tohoto nepřítele dostaneš /x zkušeností,
,enemyC,"Cowardly! Will flee if only cowardly enemies remain""","Zbabělec! Uteče pokud žijí pouze zbabělci"" ",
,enemyB,This enemy is a defender! Anyone behind them cannot be targeted,Tento nepřítel je obránce! Nikdo za nimi nemůže být zaměřen, WARNING: AUTO-TRANSLATION #####################################################
,enemyS,This enemy is a summon,Tento nepřítel byl vyvolán,
,enemyHP,HP: /x / /y,HP: /x / /y,"example: ""HP: 3 / 5"" "
enemies,Armadillo,Armadillo,Pásovec,
,Armadillo1,These armadillos are legendary for their defensive abilities! And their stench!,Tito pásovci jsou legendární pro jejich obranné schopnosti! A taky puch!,
,Badger Boss,Badger Boss,Velký Ospalý Jezevec,
,Badger Boss1,The Badger Boss is a true threat!,Velký Ospalý Jezevec je opravdová hrozba!,
,Badger,Badger,Jezevec,
,Badger1,You never see these guys alone. So annoying!,Tyhle nikdy nevidíš osamotě. Tak otravný!,
,Bandit Lord,Bandit Lord,Lord Banditů,
,Bandit Lord1,Isn't rebelling against authority the whole point of being a bandit?,Není rebélie proti autoritě celá pointa býti banditou?,
,Bat,Bat,Netopýr,
,Bat1,These bats don't drink... wine...,Tito netopýři nepijí... Víno...,
,Blademaster,Blade Master,Mistr Meče,
,Blademaster1,"""You seem a decent fellow, I hate to kill you""","""Vypadáš jako decentní chlapík, škoda že tady zemřeš"" ",
,Bearded Dragon,Bearded Dragon,Vousatý Drak,
,Bearded Dragon1,Karate practice is a way of life,Karate je životní styl,
,Blue Snail,Blue Snail,Modrý šnek, WARNING: AUTO-TRANSLATION #####################################################
,Blue Snail1,Blueberry flavor! Mmm!,Borůvková příchuť! Mmm!, WARNING: AUTO-TRANSLATION #####################################################
,Crossbowman,Crossbowman,Střelec z kuše,
,Crossbowman1,Hares - Nimbler than Badgers and stronger than Rabbits. They are ideal crossbowmen in the King's army,Zající - Hbitější než jezevci a silnější než králíci. Ideální střelci z kuše v Králově armádě,
,Crow Bandit,Crow Bandit,Vraný Bandita,
,Crow Bandit1,They'll take your stuff and fly off,Ukradnou ti věci a uletí,
,Cultist Blade,Cultist Blade,Kultista Meče,
,Cultist Blade1,From his hand a gold chain dangles - an idol of his leader,Z jeho ruky visí zlatý řetízek - idol svého vůdce,
,Cultist,Cultist,Kultista,
,Cultist1,The cult is a pathway to many unnatural abilities,Kult je cesta k několika nadpřirozeným schopnostem,
,Elder Mage,Elder Mage,Starý mág,
,Elder Mage1,From his hand a gold chain dangles - an idol of his leader,Z jeho ruky visí zlatý řetízek - idol svého vůdce,
,Ferret King,Ferret King,Král Fretek,
,Ferret King1,He'd be kind of cute if he wasn't such a violent person,Byl by roztomilý kdyby nebyl tak krutý,
,Fire Gecko,Fire Gecko,Ohnivý Gekon,
,Fire Gecko1,"Years of training, but no match for a magical backpack",Léta trénoval ale magickému batohu se nevyrovná,Léta trénoval WARNING: ENGLISH TEXT CHANGED #####################################################
,Frog Wizard,Frog Wizard,Ropuší Čaroděj,
,Frog Wizard1,Frogs know about a deep magic that appears on rare Wednesdays,Žáby vědí o hluboké magii která se objevuje ve vzácné Středy,
,Gerbil Ruffian,Gerbil Ruffian,Pískomil Ruffian,
,Gerbil Ruffian1,Rumor has it that Gerbils used to be pets before the founding of Orderia. These overgrown monsters make you doubt it.,Říká se že Pískomilové byli mazlíčci před založením Orderie. Tyhle přerostlá monstra vás přinutí o tom pochybovat.,že Pískomilové byli mazlíčci před založením Orderie. Tyhle přerostlá monstra vás přinutí o tom pochybovat.
,Glory Knight,Glory Knight,Rytíř Slávy,
,Glory Knight1,Courageous heroes who have lost their way,Odvážní hrdinové kteří zbloudili z cest dobra,
,Grandmaster,Grandmaster,Velmistr,
,Grandmaster1,The fires of this place will turn you to ashes,Plameny tohoto místa tě spálí na popel,
,Hawk Knight,Hawk Knight,Jestřábí Rytíř,
,Hawk Knight1,Noble. Screechingly loud. Pretty annoying really,Ušlechtily. Skřípavě nahlas. Je docela dost otravnej,
,Hermit Crab,Hermit Crab,Krab Poustevník,
,Hermit Crab1,"Sure they're crabs, but most hermits are easier to avoid",Ano jsou to kraby ale většině poustevníčků je lepší se vyhnout,Ano jsou to kraby WARNING: ENGLISH TEXT CHANGED #####################################################
,Hermit Crab Mimic,Hermit Crab Mimic,Hermit Crab Mimic,
,Hermit Crab Mimic1,looks can be deceiving,looks can be deceiving,
,King,King,Král,
,King1,"""All the world will be your enemy""","""Celý svět bude tvůj nepřítel"" ",
,Lil Bee,Li'l Bee,Malá Včela,
,Lil Bee1,These small bees are all drones of the queen ,Všechny tyto malé včely jsou královniny drony, WARNING: ENGLISH TEXT CHANGED #####################################################
,Living Shadow,Living Shadow,Živý Stín,
,Living Shadow1,A dark shadow of yourself.  Doppel-get-over-it!,Temná verze tvého já. Eventuálně se přes to dostaneš!,
,Muskrat Brigand,Muskrat Brigand,Lupič Ondatra,
,Muskrat Brigand1,"Tiny, spiny, they'll kick you in your... face",Malý. Ostatý. Kousne tě do... Obličeje?,they'll kick you in your... face WARNING: ENGLISH TEXT CHANGED #####################################################
,Newt,Newt,Čolek,
,Newt1,Newts stay in moist areas. It's pretty nasty really,Čolci se zdržují ve vlhkých oblastech. Dost odporný,
,Olm,Olm,Macarát,
,Olm1,Is it getting hot in here?,Neni tu nějak teplo?,
,Pink Flower,Pink Flower,Růžová Květina,
,Pink Flower1,Beautiful but deadly,Nádherná a smrtící,
,Porcupine,Porcupine ,Dikobraz, WARNING: ENGLISH TEXT CHANGED #####################################################
,Porcupine1,Porcupines are usually friendly creatures. Something horrible must have happened to her,Dikobrazi jsou obvykle přátelští. Muselo se jí stát něco hrozného,
,Purple Snail,Purple Snail,Fialový šnek, WARNING: AUTO-TRANSLATION #####################################################
,Purple Snail1,Grape flavor. Delicious!,Hroznová příchuť. Lahodné!, WARNING: AUTO-TRANSLATION #####################################################
,Queen Bee,Queen Bee,Včelí Královna,
,Queen Bee1,The queen bee commands the armies!,Včelí Královna velí včelím armádám,
,Rabbit,Rabbit,Králík,
,Rabbit1,The rabbit knows you are in its garden,Králík ví když mu vkročíš do zahrady,
,Ratwolf,Ratwolf,Krysařík,
,Ratwolf1,"The ratwolf has long patrolled these halls, killing adventurers who stray too far",Krysaříci dlouho hlídkovali v těchto síních a zabíjeli dobrodruhy kteří se zatoulali příliš daleko,Krysaříci dlouho hlídkovali v těchto síních a zabíjeli dobrodruhy WARNING: ENGLISH TEXT CHANGED #####################################################
,Red Snail,Red Snail,Červený šnek, WARNING: AUTO-TRANSLATION #####################################################
,Red Snail1,Strawberry flavor!,Jahodová příchuť!, WARNING: AUTO-TRANSLATION #####################################################
,Repxecutioner,Repxecutioner,Plazí Popravčí,
