Category,Key,English,Japanese,Notes
,optt1,Emojis,絵文字, WARNING: AUTO-TRANSLATION #####################################################
,optt2,Combat Animations,バトルアニメーション, WARNING: AUTO-TRANSLATION #####################################################
,opt6,FPS,フレームレート,
,opt7,Screen Size,画面サイズ,
,opt8,Quality,品質,
,opt8b,Resolution,解像度,
,opt9,Language,言語,
,opt10,Return to Menu,メニューに戻る,
,opt11,Delete on Game Over,ゲームオーバー時に削除, WARNING: AUTO-TRANSLATION #####################################################
,opt12,No save games,セーブデータなし, WARNING: AUTO-TRANSLATION #####################################################
,optQQ,Group ID /x copied!,グループIDをコピー済, WARNING: AUTO-TRANSLATION #####################################################
,clickMe,Click me!,クリック！,
,sellHere,Drag to me to Sell,ここにドラッグして売る,
,removeHere,I can remove a carving - for a price,代金を払ってくれれば彫刻を取ってあげるよ, WARNING: ENGLISH TEXT CHANGED #####################################################
,cantSell,I don't buy those!,これは売らない！,
,noMoreSale,I won't take more items!,もう買えない！,
,on,on,オン,
,off,off,オフ,
,windowed,windowed,ウィンドウ画面,
,full screen,full screen,フルスクリーン,
,borderless,borderless,ボーダーレスウィンドウ,
,unlimited,unlimited,無制限,
,low,low,低,
,medium,medium,中,
,high,high,高,
Item Atlas,ia1,Can only be found by:,唯一の発見方法：, WARNING: AUTO-TRANSLATION #####################################################
,ia2,Can only be found in:,唯一の発見場所：, WARNING: AUTO-TRANSLATION #####################################################
context menu,cm1,View card,カードを見る,
,cm2,Use item,アイテムを使用,
,cm3,Use Item Max Times,アイテムを最大回数使用,
,cm4,Reroll Items,アイテムをリロール,
,cm5,Discover passage,通路を見つける,
,cm6,Summon enemies,敵を召喚,
,cm7,Add reward,報酬を追加,
,cm8,Duplicate potion,ポーションを複製,
,cm9,Combine potions,ポーションを混合,
,cm10,Flip switch,フリップスイッチ,
,cm11,Return carving,彫刻を戻す, WARNING: AUTO-TRANSLATION #####################################################
,cm12,Remove carving,彫刻を削除, WARNING: AUTO-TRANSLATION #####################################################
gameManagerMessages,gmreo,Reorganize now to claim this item!,バッグを詰め直してこのアイテムを手に入れる！,
,gm1,Finished!,完了！,
,gm2,Must be in an empty room!,何もない部屋に行こう！,
,gm3,Cannot save right now!,今はセーブできない！,
,gm4,Complete tutorial to save!,セーブするにはチュートリアルを完了しよう！,
,gm5,Cannnot save while moving!,動いている間はセーブできない！,
,gm6,Finale,フィナーレ,
,gm7,Part /x of /y,/y パート/x,
,gm8,Finished Choosing,選択完了,
,gm9,Can't take more items,もうアイテムを取れないよ,
,gm10,Take /x items,アイテムを/x個取ろう,
,gm11,Take 1 item,アイテムを1個取ろう,
,gmb,Battle Start!,バトル開始！,
,gmpt,Player Turn!,プレイヤーのターン！,
,gmet,Enemy Turn!,敵のターン！,
,gm12,You win!,勝ち！,
,gm13,Level Up!,レベルアップ！,
,gm14,Get items!,アイテムを取ろう！,
,gm14b,End Battle!,バトルを終了！,
,gm15,Not enough energy,エネルギー不足,
,gm16,Any items left outside the backpack will be lost,バックバックの外側にあるアイテムは失われるよ,
,gm17,Finished Reorganizing,詰め替え作業完了,
,gm18,Save Failed!,セーブ失敗！,
,gm19,You have been cursed!,呪文をかけられた！,
,gm20,Skip curse. Take /x damage,呪文をスキップ。/xのダメ―ジを受ける,
,gm21,Choose an item,アイテムを選択,
,gm22,Never Mind,アイテムは不要,
,gm23,You must place all curses!,全ての呪文を配置しなければならない！,
,gm24,Cannot be combined with selected item,選択したアイテムは合わせられないよ,
,gm25,Cannot be used!,使えないよ！,
,gm26,Not enough connected Mana,繋がったマナが足りない,
,gm27,Not enough Gold,ゴールドが足りない,
,gm28,No more uses this combat,このバトルの使用回数は使い切った,
,gm29,No more uses this turn,このターンの使用回数は使い切った,
,gm30,No more uses,使用回数が足りない,
,gm31,This item is disabled,このアイテムは無効,
,gm32,Anchored,固定,
,gm33,Cannot move a curse,呪文は移動できない,
,gm34,Cannot move here,ここには移動できない,
,gm35,Cannot afford,コインが足りない,
,gm36,Cannot place here,ここには置けない,
,gm37,Finish Battle to Continue,バトルを終了して先に進む,
,gm38,Can't move here!,ここには移動できない！,
,gm39,Pathway blocked!,道が閉ざされている！,
,gm40,Game Loaded,ロード完了,
,gm41,Game Saved,セーブ完了,
,gmillusory,Illusory spaces can only hold carvings,幻のスペースに置けるのは彫刻のみ, WARNING: AUTO-TRANSLATION #####################################################
,retry,retry,リトライ,
,gm42,Choose /x spaces,/x個マス選択, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm43,Carvings cannot be played while reorganizing,整理中は彫刻を使えない,
,gm44,You cannot leave this item behind: ,置いていけないアイテム：, WARNING: ENGLISH TEXT CHANGED #####################################################
,gm45,Item has an invalid placement,アイテムの配置が無効, WARNING: ENGLISH TEXT CHANGED #####################################################
,gm46,Enter text. . .,テキストを入力…, WARNING: AUTO-TRANSLATION #####################################################
,gm47,More Game Modes,その他のゲームモード, WARNING: AUTO-TRANSLATION #####################################################
,gmCR81,You cannot leave your core behind,コアは置いていけない,
,gmSatchel1,Items must be placed on a rune space!,ルーンスペースにアイテムを配置しなければならない！,
,gmSatchel2,You can't move items once they're crammed in!,一度詰め込んだアイテムは移動できない！,
,gmSatchel3,There's no space to cram it in!,詰め込むスペースがない！,
Tote,gmTote1,Carvings must be placed in your Backpack,バックパックに彫刻を入れておかなければならない,
,gmTote2,Carvings in hand,所有している彫刻,
,gmTote3,Discarded Carvings,捨てた彫刻,
,gmTote4,Banished Carvings,消えた彫刻,
Run Types,rt1,standard,標準,
,rt1d,A basic run with no special settings!,特別な設定をしていない基本モード！,
,rt2,No experience,未経験,
,rt3,Bombs Away,爆弾なし,
,rt4,Easy Mode,イージーモード,
,rt5,Hard Mode,ハードモード,
,rt5b,Hard Mode 2,ハードモード2,
,rt5c,Hard Mode 3,ハードモード3,
,rt5dd,Hard Mode 4,ハードモード4,
,rt5v5,Hard Mode 5,ハードモード5,
,rt5e,Unfair Mode,アンフェアモード,
,rt5f,Hard Puzzle Mode,ハードパズルモード,
,rt6,Pauper Mode,貧民モード,
,rt7,Glass Cannon,ガラスの大砲,
,rt8,5 by 5 challenge,5×5チャレンジ,
,rt8b,5 by 7 challenge,5×7チャレンジ,
,rt9,Another way,他の方法,
,rt10,Big Mode,ビッグモード,
,rt11,Classic Matthew,クラシック・マシュー,
,rt12,Endless Dream,終わらない夢,
,rt13,Great Pair,グレート・ペア,
,rt14,Horrible Curse,恐ろしい呪文,
,rt15,Horrible Luck,恐ろしい運,
,rt16,Lethal,死への道,
,rt17,Penny Pincher,ケチ,
,rt18,Puzzle Mode,パズルモード,
,rt19,Quick and Easy,クイックイージー,
,rt20,Scaling Energy,拡大エネルギー,
,rt21,Small Paws,小さな足,
,rt22,Standard Energy,標準エネルギー,
,rt23,Strong Start,出だし好調,
,rt24,Trash Blaster,ゴミの爆風,
,rt25,Wrecked Relics,滅びた遺跡,
,rt26,Boss Rush,ボスラッシュ, WARNING: AUTO-TRANSLATION #####################################################
,rt27,Ever changing,常に変化する, WARNING: AUTO-TRANSLATION #####################################################
,rt28,Adaptive,適応能力, WARNING: AUTO-TRANSLATION #####################################################
,Run modifier,Run modifier,プレイオプション,
Run Type Text,rte1,Has been completed!,完了！,
,rte2b,This run was unlocked by completing:,次を完了してこのモードをアンロック：,
,rte2,This run is locked until you complete:,次が完了するとこのモードがアンロックされます：,
,rte3,Locked!,ロックされている！,
Run Type Descriptors,rtd1,You cannot earn experience,経験値を稼げない,
,rtd2,You start with these items. You must keep them the entire run:,次のアイテムを持っていく。プレイ中ずっと持っておく必要がある：,
,rtd3,You can take /x items after each standard battle,標準バトルの後に毎回アイテムを/x個もらえる,
,rtd4,/x to max health,最大HP/x,
,rtd5,/x% each time you earn xp,XPを獲得する度に/x%,
,rtd6,/x% each time you earn gold,ゴールドを獲得する度に/x%,
,rtd7,/x% to enemy health,敵のHP/x%,
,rtd8,Backpack limited to /x spaces wide,バックバックの横幅が/xマス制限される,
,rtd9,You can only find common and uncommon items,ふつうとレアのアイテムしか手に入らない,
,rtd10,You start with these items:,次のアイテムを持って始める：,
,rtd11,You cannot find these items:,このアイテムが手に入らない：,
,rtd12,Standard chests contain /x items,標準のチェストにアイテムが/x個入っている,
,rtd13,Enemy attacks get /x% damage,敵の攻撃が/x%ダメージになる,
,rtd14,You cannot find items of this type:,次のタイプのアイテムが手に入らない：,
,rtd15,All weapons receive /x% bonus damage,全ての武器に/x%のボーナスダメージ,
,rtd16,/x% to luck,幸運/x%,
,rtd17,All status effects deal damage and disappear each turn,全ての状態効果がダメージを与え毎ターン消滅する,
,rtd18,Start the game from Matthew,マシューのところからゲームを始める,
,rtd19,Your max health is /x,最大HP/x,
,rtd20,Instead of standard items - find a chest after each combat,標準アイテムの代わりに毎バトル後チェストが出現する,
,rtd21,Instead of standard items - find a store after each combat,標準アイテムの代わりに毎バトル後店が出現する,
,rtd22,You can only find /x space items,/xマスの大きさのアイテムしか出現しない,
,rtd23,You can only find items that are /x spaces or larger,/xマスかそれ以上の大きさのアイテムしか出現しない,
,rtd24,Your energy starts at /x and increases each turn,エネルギーが/xから始まりターンごとに減少する,
,rtd25,You get /x energy each turn,毎ターン/xエネルギー獲得,
,rtd26,You cannot find relics,遺跡が見つからない,
,rtd27,There is only one floor before each boss,ボスにたどり着くまでに1フロアしかない,
,rtd28,Enemies will never poison the player,敵がプレイヤーに毒効果を与えない,
,rtd29,Don't start with standard items,標準アイテムから始めない,
,rtd30,Items must be placed adjacent to an item of the same type or rarity. This excludes your starting items:,アイテムを同じタイプかレア度のアイテムの隣にしか置けない。ただしスタート時のアイテムは除く：,
,rtd31,Enemies will never curse the player,敵がプレイヤーに呪文をかけない,
,rtd32,Backpack starts at /x spaces wide,バックパックが/xマスのサイズで開始,
,rtd33,Go directly to each Boss,直接ボスのところへ行く, WARNING: AUTO-TRANSLATION #####################################################
,rtd34,Start in a room with:,これがある部屋から開始する：, WARNING: AUTO-TRANSLATION #####################################################
,rtd35,All items are replaced after each battle,バトルごとに全てのアイテムが置き換えられる, WARNING: AUTO-TRANSLATION #####################################################
minigames,mini1,Spin /x gold,回転/xゴールド,
,mini2,Spin - free,回転 - 無料,
,mini3,Can't leave yet,まだ立ち去れない,
,mini4,Finish your guess to leave,推測を終わらせてから立ち去ろう,
,mini5,No more guesses!,もう考えつくした！,
,mini6,Matching,マッチング,
,mini7,You have /x guesses remaining,残り/x回の推測,
tutorials,tut1,In combat you click items to use them. You must defeat all enemies to continue.,バトルが始まったらアイテムをクリックして使用する。全ての敵を倒して先に進もう。,
,tut2,"Add all items to your backpack to continue! While holding an item, you can press right mouse or arrow keys to rotate it!",全てのアイテムをバックパックに詰めて進めよう！アイテムをホールドしたまま右クリックか矢印キーを押すと回転させられるよ！,
,tutCR81,Put items in the path of your core. Use your core to activate them,コアの通り道にアイテムを配置しよう。コアを使ってアイテムを有効化する。,
,tutCR82,"If multiple items are in the path, they will all be used",通り道に複数のアイテムがある場合、全てが有効になる,
,tutCR83,"If an item occupies multiple spaces, it can be used multiple times",アイテムが複数のマスにまたがる場合、複数回使用される,
,tutCR84,You can redirect the path of your charge,電荷の通り道を変更できる,
,tutCR85,"If you don't have enough energy to use an item, the charge is lost. Use a splitter to divide a charge. The energy is rounded up!",アイテムを使用できるだけのエネルギーがない場合は、電荷が消失する。スプリッターを使って充電を分割しよう。エネルギーを寄せ集められるよ！,
,tutCR86,Use multiple different charges to hit the same item several times,複数の異なる充電を使って同じアイテムに複数回電気を通そう,
,tutCR87,"Once a charge has 0 energy, it is destroyed. Use any 0 energy items first",充電エネルギーが0になると破壊される。エネルギー0のアイテムから使うようにしよう,
,tutCR88,Some items create charges on their own!,自家発電できるアイテムもあるよ！,
,tutTote1,Each turn Tote draws 3 carvings. Drag them to your bag to summon them.,トートが毎ターン彫刻を3つ引く。バッグに詰め込んで召喚する。, WARNING: AUTO-TRANSLATION #####################################################
,tutTote2,Some carvings can be used after they are summoned.,召喚した後に使えるようになる彫刻もある。, WARNING: AUTO-TRANSLATION #####################################################
,tutTote3,Some carvings have a cost to summon - shown at the bottom of the card.,彫刻によっては召喚にコストがかかる - カードの下部に書いてある。, WARNING: AUTO-TRANSLATION #####################################################
,tutTote4,Discarded carvings can be drawn again. Banished carvings are removed for the rest of combat,捨てた彫刻をもう一度引くことができる。消えた彫刻はこのバトル中排除される, WARNING: AUTO-TRANSLATION #####################################################
,tutTote5,Move carvings to your deck to collect them. Removing them later will cost money!,彫刻を自分のデッキに移動させて集めよう。後で排除するにはお金がかかる！, WARNING: AUTO-TRANSLATION #####################################################
,,,,
,,,,
,,,,
enemyCards,enemyXP,You will get /x experience for defeating this enemy,この敵を倒すと経験値が/x得られる,
,enemyC,"Cowardly! Will flee if only cowardly enemies remain""",臆病者だ！フィールドに弱気な敵しかいなくなってしまえば、後は走って逃げていくよ。,
,enemyB,This enemy is a defender! Anyone behind them cannot be targeted,この敵はディフェンダーだ！こいつの後ろにいる敵には攻撃できない, WARNING: AUTO-TRANSLATION #####################################################
,enemyS,This enemy is a summon,召喚された敵だ。,
,enemyHP,HP: /x / /y,HP: /x / /y,
enemies,Armadillo,Armadillo,アルマジロ,
,Armadillo1,These armadillos are legendary for their defensive abilities! And their stench!,アルマジロの防御力の高さは有名だ！あとは悪臭もね！,
,Badger Boss,Badger Boss,アナグマのボス,
,Badger Boss1,The Badger Boss is a true threat!,アナグマのボスは大きな脅威だ！,
,Badger,Badger,アナグマ,
,Badger1,You never see these guys alone. So annoying!,いつも群れている。鬱陶しいなぁ！,
,Bandit Lord,Bandit Lord,盗賊の権力者,
,Bandit Lord1,Isn't rebelling against authority the whole point of being a bandit?,権力に反抗するのが盗賊の本分じゃないのか？,
,Bat,Bat,コウモリ,
,Bat1,These bats don't drink... wine...,このコウモリは…ワインを飲まない…,
,Blademaster,Blade Master,ブレイド・マスター,
,Blademaster1,"""You seem a decent fellow, I hate to kill you""",『なかなかまともな奴みたいだ、殺したくないな。』, WARNING: ENGLISH TEXT CHANGED #####################################################
,Bearded Dragon,Bearded Dragon,ヒゲトカゲ,
,Bearded Dragon1,Karate practice is a way of life,空手の稽古が人生そのもの,
,Blue Snail,Blue Snail,青いスライム, WARNING: AUTO-TRANSLATION #####################################################
,Blue Snail1,Blueberry flavor! Mmm!,ブルーベリー味！うまい！, WARNING: AUTO-TRANSLATION #####################################################
,Crossbowman,Crossbowman,クロスボウマン,
,Crossbowman1,Hares - Nimbler than Badgers and stronger than Rabbits. They are ideal crossbowmen in the King's army,野ウサギ - アナグマより素早く、アナウサギより強い。王の軍隊にふさわしい石弓の射手。,
,Crow Bandit,Crow Bandit,カラスの盗賊,
,Crow Bandit1,They'll take your stuff and fly off,ものを奪って飛び去る,
,Cultist Blade,Cultist Blade,カルト信者の剣士,
,Cultist Blade1,From his hand a gold chain dangles - an idol of his leader,手には金のチェーンが握られ、指導者の偶像がぶら下がっている,
,Cultist,Cultist,カルト信者の剣士,
,Cultist1,The cult is a pathway to many unnatural abilities,カルト - あらゆる超能力への道,
,Elder Mage,Elder Mage,魔法使いの長老,
,Elder Mage1,From his hand a gold chain dangles - an idol of his leader,手には金のチェーンが握られ、指導者の偶像がぶら下がっている,
,Ferret King,Ferret King,フェレット・キング,
,Ferret King1,He'd be kind of cute if he wasn't such a violent person,こんなに暴力的じゃなければかわいいのに,
,Fire Gecko,Fire Gecko,火トカゲ,
,Fire Gecko1,"Years of training, but no match for a magical backpack",何年も修行を積んだが、魔法のバックパックにはかなわない,
,Frog Wizard,Frog Wizard,カエルの魔法使い,
,Frog Wizard1,Frogs know about a deep magic that appears on rare Wednesdays,まれに水曜日に出現するディープな魔法を知っている,
,Gerbil Ruffian,Gerbil Ruffian,凶暴なアレチネズミ,
,Gerbil Ruffian1,Rumor has it that Gerbils used to be pets before the founding of Orderia. These overgrown monsters make you doubt it.,オーデリア建国以前は、アレチネズミがペットとして飼われていたという噂がある。こんなに大きい怪物を本当に飼えるのか？,
,Glory Knight,Glory Knight,栄光の騎士,
,Glory Knight1,Courageous heroes who have lost their way,進むべき道を失った勇気ある英雄たち,
,Grandmaster,Grandmaster,グランドマスター,
,Grandmaster1,The fires of this place will turn you to ashes,この地の火は君を灰にしてしまう,
,Hawk Knight,Hawk Knight,タカの騎士,
,Hawk Knight1,Noble. Screechingly loud. Pretty annoying really,凛々しい。金切り声がすごい。耳をつんざく。,
,Hermit Crab,Hermit Crab,ヤドカリ,
,Hermit Crab1,"Sure they're crabs, but most hermits are easier to avoid",確かにカニだが、ヤドカリは簡単に避けられる,
,Hermit Crab Mimic,Hermit Crab Mimic,ヤドカリもどき,
,Hermit Crab Mimic1,looks can be deceiving,見た目はごまかせる,
,King,King,王様,
,King1,"""All the world will be your enemy""",『全世界が敵だ』, WARNING: ENGLISH TEXT CHANGED #####################################################
,Lil Bee,Li'l Bee,ちいさなハチ,
,Lil Bee1,These small bees are all drones of the queen ,女王バチの子どもたち。, WARNING: ENGLISH TEXT CHANGED #####################################################
,Living Shadow,Living Shadow,動く影,
,Living Shadow1,A dark shadow of yourself.  Doppel-get-over-it!,君自身の黒い影。自分に打ち勝て！,
,Muskrat Brigand,Muskrat Brigand,マスクラットの盗賊,
,Muskrat Brigand1,"Tiny, spiny, they'll kick you in your... face",ちいさくてトゲがあり…顔めがけて突っ込んでくるかもしれない,
,Newt,Newt,イモリ,
,Newt1,Newts stay in moist areas. It's pretty nasty really,湿度の高い場所に生息する。陰気で嫌な感じ,
,Olm,Olm,ホライモリ,
,Olm1,Is it getting hot in here?,気温が上がってきたか？,
,Pink Flower,Pink Flower,ピンクの花,
,Pink Flower1,Beautiful but deadly,美しいが触るのは命がけ,
,Porcupine,Porcupine ,ヤマアラシ, WARNING: ENGLISH TEXT CHANGED #####################################################
,Porcupine1,Porcupines are usually friendly creatures. Something horrible must have happened to her,普段は穏やかな生き物。何か怖いことがあったのだろう,
,Purple Snail,Purple Snail,紫のカタツムリ, WARNING: AUTO-TRANSLATION #####################################################
,Purple Snail1,Grape flavor. Delicious!,グレープ味。おいしい！, WARNING: AUTO-TRANSLATION #####################################################
,Queen Bee,Queen Bee,女王バチ,
,Queen Bee1,The queen bee commands the armies!,女王バチは大群を連れている！,
,Rabbit,Rabbit,ウサギ,
,Rabbit1,The rabbit knows you are in its garden,ウサギは、自分の庭に誰かが入ってきたことを察知する,
,Ratwolf,Ratwolf,ネズミオオカミ,
,Ratwolf1,"The ratwolf has long patrolled these halls, killing adventurers who stray too far",ネズミオオカミはずっと前からこの辺りを見回っている。迷い込んだ冒険家の命を奪うのだ,
,Red Snail,Red Snail,赤いカタツムリ, WARNING: AUTO-TRANSLATION #####################################################
,Red Snail1,Strawberry flavor!,イチゴ味！, WARNING: AUTO-TRANSLATION #####################################################
,Repxecutioner,Repxecutioner,トカゲの処刑人,
,Repxecutioner1,These lizards are known for their legendary fighting ability,戦闘能力の高さで有名なトカゲ,
,Rude Rooster,Rude Rooster,無礼なオンドリ,
,Rude Rooster1,This guy punched through his shell at 20 days old,生を受けて20日で殻を破って出てきた,
,Sable,Sable,クロテン,
,Sable1,Sables are fierce predators,どう猛な捕食動物。,
,Sage Toad,Sage Toad,利口なヒキガエル,
,Sage Toad1,Wise toads are no one to be trifled with. That is all you need to know,賢いヒキガエルは弄ばれたりしない。それだけは知っておこう,
,Salamander,Salamander,サンショウウオ,
,Salamander1,"Wary, powerful, dignified, really long tongue",警戒心が強く、力強く、威厳があり、舌がすごく長い,
,Skink,Skink,スキンク,
,Skink1,"Skinks appear silently, sneaking digits snap up treasures from the unsuspecting",スキンクは音を立てずに現れ、無防備な人からこっそりと宝物を奪っていく,
,Green Snail,Green Snail,緑のカタツムリ, WARNING: AUTO-TRANSLATION #####################################################
,Green Snail1,These goopy creatures make you feel sick!,このベタベタな生物、気持ち悪い！, WARNING: AUTO-TRANSLATION #####################################################
,Small Ratwolf,Small Ratwolf,ちいさなネズミオオカミ,
,Small Ratwolf1,The smaller version of the ratwolves that patrol the upper layers of the dungeon,ネズミオオカミの小さい種族は地下牢の上方の階層を歩き回っている,
,Snake,Snake,ヘビ,
,Snake1,"Poisonous, Dangerous, keep them away from planes",毒があり危険。飛行機には近寄らせないように,
,Speaker,Speaker,スピーカー,
,Speaker1,The speaker interprets the will of the Dark Lady,ダーク・レディの意思を伝えてくれるスピーカー,
,Travelling Warrior,Travelling Warrior,旅する戦士,
,Travelling Warrior1,"Known for their fast movement and defensive abilities, these rogues are dangerous! Watch out!",その素早さと高い防御能力で有名。こいつらは危険だ！気を付けて！,
,Turtle,Turtle,亀,
,Turtle1,Their shells are hard. Their hearts are even harder.,殻が頑丈。精神力もそれに劣らず強い。,
,Vole,Vole,野ネズミ,
,Vole1,Voles are notorious for walking off with anything that isn't nailed down,野ネズミは、そこらに転がっているものを根こそぎ拾っていくことで悪名高い。,
,White Flower,White Flower,白い花,
,White Flower1,Beautiful but deadly,美しいが触るのは命がけ,
,Hologram,Hologram,ホログラム,
,Hologram1,Made for testing CR-8's newest systems!,CR-8の最新システムをテストする！,
,Glory Hunter,Glory Hunter,栄光の狩人, WARNING: AUTO-TRANSLATION #####################################################
,Glory Hunter1,Courageous heroes who have lost their way,進むべき道を失った勇気ある英雄たち, WARNING: AUTO-TRANSLATION #####################################################
,Ultra Knight,Ultra Knight,最強の騎士, WARNING: AUTO-TRANSLATION #####################################################
,Ultra Knight1,the ultimate machine - perfectly crafted and impervious to all damage!,最強のマシン - 完璧な設計でどんなダメージも通さない！, WARNING: AUTO-TRANSLATION #####################################################
,Legman,Legman,レッグマン, WARNING: AUTO-TRANSLATION #####################################################
,Legman1,He never skips leg day,足の筋トレは欠かさない, WARNING: AUTO-TRANSLATION #####################################################
,The Muscle,The Muscle,筋肉マン, WARNING: AUTO-TRANSLATION #####################################################
,The Muscle1,He'll do anything the Head Honcho demands!,命令には逆らわない！, WARNING: AUTO-TRANSLATION #####################################################
,Head Honcho,Head Honcho,ボス, WARNING: AUTO-TRANSLATION #####################################################
,Head Honcho1,"""Me order! Me Master! I run this dungeon!""",私が命令を下す！私が主任だ！ここは私の地下牢だ！, WARNING: AUTO-TRANSLATION #####################################################
,Nightblade,Nightblade,ナイトブレード, WARNING: AUTO-TRANSLATION #####################################################
,Nightblade1,Elite guards of the College of Dreams who have betrayed the Sacred Trees,聖なる木を裏切った夢想大学のエリート衛兵たち, WARNING: AUTO-TRANSLATION #####################################################
,Hermit Crab Bomb,Hermit Crab Bomb,ヤドカリ爆弾, WARNING: AUTO-TRANSLATION #####################################################
,Hermit Crab Bomb1,"When the Blue Hermit Crab outgrows its shell it explodes, and it goes off in search of a new piece of junk to call home",青いヤドカリは成長すると殻を破り、家となるガラクタを探す旅に出る, WARNING: AUTO-TRANSLATION #####################################################
,Sentry,Sentry,衛兵, WARNING: AUTO-TRANSLATION #####################################################
,Sentry1,01001101 01101111 01101110 01100001 01100100,01001101 01101111 01101110 01100001 01100100, WARNING: AUTO-TRANSLATION #####################################################
,Hare Defender,Hare Defender,野ウサギの守護兵, WARNING: AUTO-TRANSLATION #####################################################
,Hare Defender1,The front line of the Badger Kingdoms army never let their back line fall,アナグマ王国軍の最前線は絶対に後方部隊を崩さない, WARNING: AUTO-TRANSLATION #####################################################
,Scarecrow,Scarecrow,かかし, WARNING: AUTO-TRANSLATION #####################################################
,Scarecrow1,Built with wood from the Mother Tree to guide you in your travels,母なる木から作られたかかしは旅の道しるべとなる, WARNING: AUTO-TRANSLATION #####################################################
,Cobra,Cobra,コブラ, WARNING: AUTO-TRANSLATION #####################################################
,Cobra1,"Strike First, Strike Hard, No Mercy.",先に飛び掛かれ、強く当たれ、情はいらない。, WARNING: AUTO-TRANSLATION #####################################################
,Honey Guide,Honey Guide,ハニーガイド, WARNING: AUTO-TRANSLATION #####################################################
,Honey Guide1,"He keeps the Badger calm. If he's gone, the Badger may go crazy",アナグマを落ち着かせてくれる。彼がいなくなるとアナグマが暴れ始めるかもしれない。, WARNING: AUTO-TRANSLATION #####################################################
,Honey Badger,Honey Badger,ハチミツアナグマ, WARNING: AUTO-TRANSLATION #####################################################
,Honey Badger1,So peaceful and calm!,とても落ち着いていて穏やか！, WARNING: AUTO-TRANSLATION #####################################################
,Feral Badger,Feral Badger,野蛮なアナグマ, WARNING: AUTO-TRANSLATION #####################################################
,Feral Badger1,He's unleashed!,今解き放たれた！, WARNING: AUTO-TRANSLATION #####################################################
,Boastful Spellsword,Boastful Spellsword,天狗のスペルソード, WARNING: AUTO-TRANSLATION #####################################################
,Boastful Spellsword1,He thinks he's stronger than he is,自分の強さを過信している, WARNING: AUTO-TRANSLATION #####################################################
enemy actions,ea1,Will attack for /x damage,/xダメージの攻撃,
,ea1a,Will attack all enemies for /x damage,全敵に/xダメージの攻撃,
,ea2,Will add /x block,/xの防御,
,ea2a,Will add /x block to all enemies,全敵に/xの防御,
,ea3,Will heal for /x,/x回復,
,ea3a,Will heal all enemies for /x,全敵を/x回復,
,ea4,Will not take any action,何も行動しない,
,ea5,Will add /x poison,/xの毒を与える,
,ea6,Will add /x burn,/xの燃焼効果を与える,
,ea7,Will add /x regeneration,/xの回復,
,ea7a,Will add /x regeneration to all enemies,全敵に/xの回復,
,ea8,Will add /x spikes,/xスパイク,
,ea8a,Will add /x spikes to all enemies,全敵に/xのスパイク,
,ea9,Will add /x dodge,/x回避,
,ea9a,Will add /x dodge to all enemies,全敵に/xの回避,
