,demo2,Please wishlist and follow us on Steam now!,Dodaj grę do listy życzeń i śledź nas na Steamie już teraz!, WARNING: AUTO-TRANSLATION #####################################################
,demo3,Early Access begins August 2022!,Wczesny dostęp zaczyna się 15 sierpnia 2022 roku!, WARNING: AUTO-TRANSLATION #####################################################
,demo4,CR-8 coming July 2022!,CR-8 już w lipcu 2022 roku!, WARNING: AUTO-TRANSLATION #####################################################
options,opt1,Music Volume,Głośność muzyki,
,opt2,SFX Volume,Głośność efektów,
,opt3,Item Animation Speed,Szybkość animacji przedmiotów,
,opt4,Brightness,Jasność,
,opt5,Rotate,Obrót,
,optt1,Emojis,Emoji, WARNING: AUTO-TRANSLATION #####################################################
,optt2,Combat Animations,Animacje walki, WARNING: AUTO-TRANSLATION #####################################################
,opt6,FPS,Ilość klatek na sekundę,
,opt7,Screen Size,Rozmiar ekranu,
,opt8,Quality,Jakość,
,opt8b,Resolution,Rozdzielczość, WARNING: AUTO-TRANSLATION #####################################################
,opt9,Language,Język,
,opt10,Return to Menu,Powrót do menu,
,opt11,Delete on Game Over,Usuń po Przegranej grze, WARNING: AUTO-TRANSLATION #####################################################
,opt12,No save games,Brak zapisanych gier, WARNING: AUTO-TRANSLATION #####################################################
,optQQ,Group ID /x copied!,Identyfikator grupy /x skopiowany!, WARNING: AUTO-TRANSLATION #####################################################
,clickMe,Click me!,Kliknij mnie!,
,sellHere,Drag to me to Sell,Przeciągnij do mnie żeby Sprzedać,
,removeHere,I can remove a carving - for a price,Mogę usunąć rzeźbę - za odpowiednią opłatą, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,cantSell,I don't buy those!,Nie kupuję takich rzeczy!, WARNING: AUTO-TRANSLATION #####################################################
,noMoreSale,I won't take more items!,Nie wezmę więcej przedmiotów!, WARNING: ENGLISH TEXT CHANGED #####################################################
,on,on,Włącz,
,off,off,Wyłącz,
,windowed,windowed,w oknie,
,full screen,full screen,Pełny ekren,
,borderless,borderless,Pełny ekran w oknie,
,unlimited,unlimited,Nielimitowane,
,low,low,niska,
,medium,medium,średnia,
,high,high,wysoka,
Item Atlas,ia1,Can only be found by:,Może być znaleziony tylko przez:, WARNING: AUTO-TRANSLATION #####################################################
,ia2,Can only be found in:,Może być znaleziony tylko w:, WARNING: AUTO-TRANSLATION #####################################################
context menu,cm1,View card,Zobacz kartę, WARNING: AUTO-TRANSLATION #####################################################
,cm2,Use item,Użyj przedmiotu, WARNING: AUTO-TRANSLATION #####################################################
,cm3,Use Item Max Times,Użyj przedmiotu maksymalną ilość razy, WARNING: AUTO-TRANSLATION #####################################################
,cm4,Reroll Items,Przelosuj przedmioty, WARNING: AUTO-TRANSLATION #####################################################
,cm5,Discover passage,Odkryj przejście, WARNING: AUTO-TRANSLATION #####################################################
,cm6,Summon enemies,Przywołaj wrogów, WARNING: AUTO-TRANSLATION #####################################################
,cm7,Add reward,Dodaj nagrodę, WARNING: AUTO-TRANSLATION #####################################################
,cm8,Duplicate potion,Zduplikuj miksturę, WARNING: AUTO-TRANSLATION #####################################################
,cm9,Combine potions,Połącz mikstury, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,cm10,Flip switch,Użyj przełącznika, WARNING: AUTO-TRANSLATION #####################################################
,cm11,Return carving,Przywróć rzeźbę, WARNING: AUTO-TRANSLATION #####################################################
,cm12,Remove carving,Usuń rzeźbę, WARNING: AUTO-TRANSLATION #####################################################
gameManagerMessages,gmreo,Reorganize now to claim this item!,Przeorganizuj teraz żeby wziąć ten przedmiot!,
,gm1,Finished!,Gotowe!,
,gm2,Must be in an empty room!,Musisz znajdować się w pustym pomieszczeniu!,
,gm3,Cannot save right now!,Nie można teraz zapisać gdy!,
,gm4,Complete tutorial to save!,Ukończ samouczek żeby zapisać!,
,gm5,Cannnot save while moving!,Nie można zapisać podczas ruchu!,
,gm6,Finale,Finał,
,gm7,Part /x of /y,Część /x z /y,
,gm8,Finished Choosing,Zakończono wybieranie,
,gm9,Can't take more items,Nie możesz zabrać więcej przedmiotów,
,gm10,Take /x items,Weź /x przedmiotów,
,gm11,Take 1 item,Weź 1 przedmiot,
,gmb,Battle Start!,Rozpoczęcie Walki!,
,gmpt,Player Turn!,Tura gracza!,
,gmet,Enemy Turn!,Tura Przeciwnika!,
,gm12,You win!,Zwycięstwo!,
,gm13,Level Up!,Zdobywasz Poziom!,
,gm14,Get items!,Weź przedmioty!,
,gm14b,End Battle!,Koniec walki!, WARNING: AUTO-TRANSLATION #####################################################
,gm15,Not enough energy,Za mało energii,
,gm16,Any items left outside the backpack will be lost,Wszystkie przedmioty pozostawione poza plecakiem przepadną,
,gm17,Finished Reorganizing,Zakończono układanie,
,gm18,Save Failed!,Zapis gry nie powiódł się!,
,gm19,You have been cursed!,Rzucono na ciebie klątwę!,
,gm20,Skip curse. Take /x damage,Pomiń klątwę. Otrzymaj /x obrażeń,
,gm21,Choose an item,Wybierz przedmiot,
,gm22,Never Mind,Nieważne,as a response when not selecting an item
,gm23,You must place all curses!,Musisz umieścić wszystkie klątwy!,
,gm24,Cannot be combined with selected item,Nie można połączyć z wybranym przedmiotem,
,gm25,Cannot be used!,Nie można użyć!,
,gm26,Not enough connected Mana,Za mało połączonej Many,
,gm27,Not enough Gold,Za mało Złota,
,gm28,No more uses this combat,Nie można już użyć w tej walce,
,gm29,No more uses this turn,Nie można już użyć w tej turze,
,gm30,No more uses,Nie można już użyć,
,gm31,This item is disabled,Ten przedmiot jest wyłączony,
,gm32,Anchored,Zakotwiczony,
,gm33,Cannot move a curse,Nie można przesunąć klątwy,
,gm34,Cannot move here,Nie można przesunąć tutaj,
,gm35,Cannot afford,Nie stać cię,
,gm36,Cannot place here,Nie można umieścić tutaj,
,gm37,Finish Battle to Continue,Skończ Walkę żeby Kontynuować,
,gm38,Can't move here!,Nie możesz tu przejść!,
,gm39,Pathway blocked!,Ścieżka zablokowana!,
,gm40,Game Loaded,Gra wczytana,
,gm41,Game Saved,Gra zapisana,
,gmillusory,Illusory spaces can only hold carvings,W Iluzorycznych przestrzeniach mogą znaleźć się tylko rzeźby, WARNING: AUTO-TRANSLATION #####################################################
,retry,retry,Spróbuj ponownie,
,gm42,Choose /x spaces,Wybierz /x pól, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm43,Carvings cannot be played while reorganizing,Rzeźby nie mogą być zagrywane podczas porządkowania, WARNING: AUTO-TRANSLATION #####################################################
,gm44,You cannot leave this item behind: ,Nie możesz zostawić tego przedmiotu:, WARNING: AUTO-TRANSLATION #####################################################
,gm45,Item has an invalid placement,Przedmiot jest źle umiejscowiony, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm46,Enter text. . .,Wprowadź tekst. . ., WARNING: AUTO-TRANSLATION #####################################################
,gm47,More Game Modes,Więcej trybów gry, WARNING: AUTO-TRANSLATION #####################################################
,gmCR81,You cannot leave your core behind,Nie możesz zostawić swojego rdzenia, WARNING: AUTO-TRANSLATION #####################################################
,gmSatchel1,Items must be placed on a rune space!,Przedmioty muszą zostać umieszczone na miejscu runy!,
,gmSatchel2,You can't move items once they're crammed in!,Nie możesz przenosić przedmiotów kiedy są upchane!,
,gmSatchel3,There's no space to cram it in!,Nie ma miejsca żeby to upchać!,
Tote,gmTote1,Carvings must be placed in your Backpack,Rzeźby muszą być umieszczone w twoim Plecaku, WARNING: AUTO-TRANSLATION #####################################################
,gmTote2,Carvings in hand,Rzeźby w ręku, WARNING: AUTO-TRANSLATION #####################################################
,gmTote3,Discarded Carvings,Odrzucone rzeźby, WARNING: AUTO-TRANSLATION #####################################################
,gmTote4,Banished Carvings,Poświęcone rzeźby, WARNING: AUTO-TRANSLATION #####################################################
Run Types,rt1,standard,standard, WARNING: AUTO-TRANSLATION #####################################################
,rt1d,A basic run with no special settings!,Podstawowy bieg bez specjalnych ustawień!, WARNING: AUTO-TRANSLATION #####################################################
,rt2,No experience,Brak doświadczenia, WARNING: AUTO-TRANSLATION #####################################################
,rt3,Bombs Away,Zrzucić Bomby, WARNING: AUTO-TRANSLATION #####################################################
,rt4,Easy Mode,Tryb łatwy, WARNING: AUTO-TRANSLATION #####################################################
,rt5,Hard Mode,Tryb trudny, WARNING: AUTO-TRANSLATION #####################################################
,rt5b,Hard Mode 2,Tryb trudny 2, WARNING: AUTO-TRANSLATION #####################################################
,rt5c,Hard Mode 3,Tryb trudny 3, WARNING: AUTO-TRANSLATION #####################################################
,rt5dd,Hard Mode 4,Tryb trudny 4, WARNING: AUTO-TRANSLATION #####################################################
,rt5v5,Hard Mode 5,Tryb trudny 5, WARNING: AUTO-TRANSLATION #####################################################
,rt5e,Unfair Mode,Nieuczciwy tryb, WARNING: AUTO-TRANSLATION #####################################################
,rt5f,Hard Puzzle Mode,Tryb trudnej łamigłówki, WARNING: AUTO-TRANSLATION #####################################################
,rt6,Pauper Mode,Tryb żebraczy, WARNING: AUTO-TRANSLATION #####################################################
,rt7,Glass Cannon,Szklana armata, WARNING: AUTO-TRANSLATION #####################################################
,rt8,5 by 5 challenge,Wyzwanie 5 na 5, WARNING: AUTO-TRANSLATION #####################################################
,rt8b,5 by 7 challenge,Wyzwanie 5 na 7, WARNING: AUTO-TRANSLATION #####################################################
,rt9,Another way,Inny sposób, WARNING: AUTO-TRANSLATION #####################################################
,rt10,Big Mode,Tryb duży, WARNING: AUTO-TRANSLATION #####################################################
,rt11,Classic Matthew,Klasyczny Matthew, WARNING: AUTO-TRANSLATION #####################################################
,rt12,Endless Dream,Niekończący się sen, WARNING: AUTO-TRANSLATION #####################################################
,rt13,Great Pair,Świetna para, WARNING: AUTO-TRANSLATION #####################################################
,rt14,Horrible Curse,Okropna klątwa, WARNING: AUTO-TRANSLATION #####################################################
,rt15,Horrible Luck,Okropne szczęście, WARNING: AUTO-TRANSLATION #####################################################
,rt16,Lethal,Śmiertelny, WARNING: AUTO-TRANSLATION #####################################################
,rt17,Penny Pincher,Sknera, WARNING: AUTO-TRANSLATION #####################################################
,rt18,Puzzle Mode,Tryb łamigłówki, WARNING: AUTO-TRANSLATION #####################################################
,rt19,Quick and Easy,Szybko i łatwo, WARNING: AUTO-TRANSLATION #####################################################
,rt20,Scaling Energy,Skalowanie energii, WARNING: AUTO-TRANSLATION #####################################################
,rt21,Small Paws,Małe łapy, WARNING: AUTO-TRANSLATION #####################################################
,rt22,Standard Energy,Energia standardowa, WARNING: AUTO-TRANSLATION #####################################################
,rt23,Strong Start,Silny start, WARNING: AUTO-TRANSLATION #####################################################
,rt24,Trash Blaster,Wyrzutnia śmieci, WARNING: AUTO-TRANSLATION #####################################################
,rt25,Wrecked Relics,Zniszczone relikwie, WARNING: AUTO-TRANSLATION #####################################################
,rt26,Boss Rush,Boss Rush, WARNING: AUTO-TRANSLATION #####################################################
,rt27,Ever changing,Ciągle się zmienia, WARNING: AUTO-TRANSLATION #####################################################
,rt28,Adaptive,Adaptacyjny, WARNING: AUTO-TRANSLATION #####################################################
,Run modifier,Run modifier,Uruchom modyfikator, WARNING: AUTO-TRANSLATION #####################################################
Run Type Text,rte1,Has been completed!,Została ukończona!, WARNING: AUTO-TRANSLATION #####################################################
,rte2b,This run was unlocked by completing:,Ta rozgrywka została odblokowana poprzez wykonanie:, WARNING: AUTO-TRANSLATION #####################################################
,rte2,This run is locked until you complete:,"Ta rozgrywka jest zablokowana, dopóki nie ukończysz:", WARNING: AUTO-TRANSLATION #####################################################
,rte3,Locked!,Zablokowany!, WARNING: AUTO-TRANSLATION #####################################################
Run Type Descriptors,rtd1,You cannot earn experience,Nie możesz zdobyć doświadczenia, WARNING: AUTO-TRANSLATION #####################################################
,rtd2,You start with these items. You must keep them the entire run:,Zaczynasz z tymi przedmiotami. Musisz je mieć przez całą rozgrywkę:, WARNING: AUTO-TRANSLATION #####################################################
,rtd3,You can take /x items after each standard battle,Możesz wziąć /x przedmiotów po każdej standardowej bitwie, WARNING: AUTO-TRANSLATION #####################################################
,rtd4,/x to max health,/x do maksymalnego zdrowia, WARNING: AUTO-TRANSLATION #####################################################
,rtd5,/x% each time you earn xp,"/x% za każdym razem, gdy zdobędziesz doświadczenie", WARNING: AUTO-TRANSLATION #####################################################
,rtd6,/x% each time you earn gold,"/x% za każdym razem, gdy zdobędziesz złoto", WARNING: AUTO-TRANSLATION #####################################################
,rtd7,/x% to enemy health,/x% do zdrowia wroga, WARNING: AUTO-TRANSLATION #####################################################
,rtd8,Backpack limited to /x spaces wide,Plecak ograniczony do /x szerokości pól, WARNING: AUTO-TRANSLATION #####################################################
,rtd9,You can only find common and uncommon items,Możesz znaleźć tylko zwykłe i niezwykłe przedmioty, WARNING: AUTO-TRANSLATION #####################################################
,rtd10,You start with these items:,Zaczynasz od tych przedmiotów:, WARNING: AUTO-TRANSLATION #####################################################
,rtd11,You cannot find these items:,Nie możesz znaleźć tych przedmiotów:, WARNING: AUTO-TRANSLATION #####################################################
,rtd12,Standard chests contain /x items,Standardowe skrzynie zawierają /x przedmiotów, WARNING: AUTO-TRANSLATION #####################################################
,rtd13,Enemy attacks get /x% damage,Ataki wroga otrzymują /x% obrażeń, WARNING: AUTO-TRANSLATION #####################################################
,rtd14,You cannot find items of this type:,Nie możesz znaleźć przedmiotów tego typu:, WARNING: AUTO-TRANSLATION #####################################################
,rtd15,All weapons receive /x% bonus damage,Wszystkie bronie otrzymują /x% dodatkowych obrażeń, WARNING: AUTO-TRANSLATION #####################################################
,rtd16,/x% to luck,/x% do szczęścia, WARNING: AUTO-TRANSLATION #####################################################
,rtd17,All status effects deal damage and disappear each turn,Wszystkie efekty statusu zadają obrażenia i znikają w każdej turze, WARNING: AUTO-TRANSLATION #####################################################
,rtd18,Start the game from Matthew,Rozpocznij grę od Matthew, WARNING: AUTO-TRANSLATION #####################################################
,rtd19,Your max health is /x,Twoje maksymalne zdrowie to /x, WARNING: AUTO-TRANSLATION #####################################################
,rtd20,Instead of standard items - find a chest after each combat,Zamiast standardowych przedmiotów - po każdej walce znajdź skrzynię, WARNING: AUTO-TRANSLATION #####################################################
,rtd21,Instead of standard items - find a store after each combat,Zamiast standardowych przedmiotów - po każdej walce znajdź sklep, WARNING: AUTO-TRANSLATION #####################################################
,rtd22,You can only find /x space items,Możesz znaleźć tylko /x pólowy przedmiot, WARNING: AUTO-TRANSLATION #####################################################
,rtd23,You can only find items that are /x spaces or larger,"Możesz znaleźć tylko te elementy, które mają /x pól lub więcej", WARNING: AUTO-TRANSLATION #####################################################
,rtd24,Your energy starts at /x and increases each turn,Twoja energia zaczyna się od /x i zwiększa się z każdą turą, WARNING: AUTO-TRANSLATION #####################################################
,rtd25,You get /x energy each turn,Otrzymujesz /x energii w każdej turze, WARNING: AUTO-TRANSLATION #####################################################
,rtd26,You cannot find relics,Nie możesz znaleźć relikwii, WARNING: AUTO-TRANSLATION #####################################################
,rtd27,There is only one floor before each boss,Przed każdym bossem jest tylko jedno piętro, WARNING: AUTO-TRANSLATION #####################################################
,rtd28,Enemies will never poison the player,Wrogowie nigdy nie zatrują gracza, WARNING: AUTO-TRANSLATION #####################################################
,rtd29,Don't start with standard items,Nie zaczynasz od standardowych przedmiotów, WARNING: AUTO-TRANSLATION #####################################################
,rtd30,Items must be placed adjacent to an item of the same type or rarity. This excludes your starting items:,Przedmioty muszą być umieszczone obok przedmiotu tego samego typu lub tej samej rzadkości. Nie obejmuje to przedmiotów startowych:, WARNING: AUTO-TRANSLATION #####################################################
,rtd31,Enemies will never curse the player,Wrogowie nigdy nie nałożą klątwy na gracza, WARNING: AUTO-TRANSLATION #####################################################
,rtd32,Backpack starts at /x spaces wide,Plecak zaczyna się od /x pól szerokości, WARNING: AUTO-TRANSLATION #####################################################
,rtd33,Go directly to each Boss,Idź bezpośrednio do każdego bossa, WARNING: AUTO-TRANSLATION #####################################################
,rtd34,Start in a room with:,Zacznij w pokoju z:, WARNING: AUTO-TRANSLATION #####################################################
,rtd35,All items are replaced after each battle,Wszystkie przedmioty są wymieniane po każdej bitwie, WARNING: AUTO-TRANSLATION #####################################################
minigames,mini1,Spin /x gold,Zakręć za /x złota,
,mini2,Spin - free,Zakręć za darmo,
,mini3,Can't leave yet,Nie możesz jeszcze wyjść,
,mini4,Finish your guess to leave,Skończ zgadywać żeby wyjść,
,mini5,No more guesses!,Nie możesz już więcej zgadywać!,
,mini6,Matching,Para,
,mini7,You have /x guesses remaining,Zostało ci /x prób,
tutorials,tut1,In combat you click items to use them. You must defeat all enemies to continue.,Podczas walki klikaj na przedmioty aby ich użyć. Aby przejść dalej musisz pokonać wszystkich wrogów.,
,tut2,"Add all items to your backpack to continue! While holding an item, you can press right mouse or arrow keys to rotate it!",Umieść wszystkie przedmioty w plecaku aby kontynuować! Możesz obracać trzymany przedmiot klikając prawy przycisk myszy lub strzałki!,
,tutCR81,Put items in the path of your core. Use your core to activate them,Umieść przedmioty na ścieżce swojego rdzenia. Użyj rdzenia aby je aktywować, WARNING: AUTO-TRANSLATION #####################################################
,tutCR82,"If multiple items are in the path, they will all be used","Jeśli na ścieżce znajduje się wiele elementów, wszystkie zostaną użyte", WARNING: AUTO-TRANSLATION #####################################################
,tutCR83,"If an item occupies multiple spaces, it can be used multiple times","Jeśli przedmiot zajmuje wiele miejsc, można go użyć wielokrotnie", WARNING: AUTO-TRANSLATION #####################################################
,tutCR84,You can redirect the path of your charge,Możesz przekierować ścieżkę swojego ładunku, WARNING: AUTO-TRANSLATION #####################################################
,tutCR85,"If you don't have enough energy to use an item, the charge is lost. Use a splitter to divide a charge. The energy is rounded up!","Jeśli nie masz wystarczająco dużo energii, aby użyć przedmiotu, ładunek zostanie utracony. Użyj rozdzielacza, aby podzielić ładunek. Energia jest zaokrąglana w górę!", WARNING: AUTO-TRANSLATION #####################################################
,tutCR86,Use multiple different charges to hit the same item several times,"Użyj wielu różnych ładunków, aby kilkakrotnie uderzyć w ten sam przedmiot", WARNING: AUTO-TRANSLATION #####################################################
,tutCR87,"Once a charge has 0 energy, it is destroyed. Use any 0 energy items first","Gdy ładunek ma 0 energii, zostaje zniszczony. Najpierw użyj wszystkie przedmiot które potrzebują 0 energii", WARNING: AUTO-TRANSLATION #####################################################
,tutCR88,Some items create charges on their own!,Niektóre przedmioty same generują energię!, WARNING: AUTO-TRANSLATION #####################################################
,tutTote1,Each turn Tote draws 3 carvings. Drag them to your bag to summon them.,"W każdej turze Tote losuje 3 rzeźby. Przeciągnij je do torby, aby je przywołać.", WARNING: AUTO-TRANSLATION #####################################################
,tutTote2,Some carvings can be used after they are summoned.,Niektóre rzeźby mogą być użyte po ich wezwaniu., WARNING: AUTO-TRANSLATION #####################################################
,tutTote3,Some carvings have a cost to summon - shown at the bottom of the card.,Niektóre rzeźby mają koszt przywołania – pokazany na dole karty., WARNING: AUTO-TRANSLATION #####################################################
,tutTote4,Discarded carvings can be drawn again. Banished carvings are removed for the rest of combat,Odrzucone rzeźby można wziąć ponownie. Poświęcone rzeźby zostają usunięte do końca walki, WARNING: AUTO-TRANSLATION #####################################################
,tutTote5,Move carvings to your deck to collect them. Removing them later will cost money!,"Przenieś rzeźby na swoją talię, aby je zebrać. Usunięcie ich później będzie kosztować!", WARNING: AUTO-TRANSLATION #####################################################
,,,,
,,,,
,,,,
enemyCards,enemyXP,You will get /x experience for defeating this enemy,Otrzymasz /x punktów doświadczenia za pokonanie tego przeciwnika,
,enemyC,"Cowardly! Will flee if only cowardly enemies remain""",Tchórz! Ucieknie kiedy zostaną same tchórzliwe jednostki,
,enemyB,This enemy is a defender! Anyone behind them cannot be targeted,Ten wróg jest obrońcą! Nikt za nimi nie może zostać zaatakowany, WARNING: AUTO-TRANSLATION #####################################################
,enemyS,This enemy is a summon,Ten wróg jest przyzwańcem,
,enemyHP,HP: /x / /y,Punkt życia: /x / /y,"example: ""HP: 3 / 5"""
enemies,Armadillo,Armadillo,Pancernik,
,Armadillo1,These armadillos are legendary for their defensive abilities! And their stench!,Te pancerniki słyną ze swoich legendarnych zdolności obronnych! I smrodu!,
,Badger Boss,Badger Boss,Przywódca Borsuków,i have to consult which you prefer like mighty badger or giant something like that
,Badger Boss1,The Badger Boss is a true threat!,Przywódca Borsuków stanowi prawdziwe zagrożenie!,
,Badger,Badger,Borsuk,
,Badger1,You never see these guys alone. So annoying!,Nigdy nie spotykasz tych gości pojedynczo. Wkurzające!,
,Bandit Lord,Bandit Lord,Król Bandytów,
,Bandit Lord1,Isn't rebelling against authority the whole point of being a bandit?,Czy buntowanie się przeciwko władzy nie jest sensem w bycia bandytą?,
,Bat,Bat,Nietoperz,
,Bat1,These bats don't drink... wine...,Te nietoperze nie pijają... wina…,
,Blademaster,Blade Master,Mistrz Miecza,
,Blademaster1,"""You seem a decent fellow, I hate to kill you""","""Wyglądasz na porządną osobę, szkoda, że muszę cię zabić""",
,Bearded Dragon,Bearded Dragon,Agama Brodata,
,Bearded Dragon1,Karate practice is a way of life,Trenowanie Karate to sposób na życie,
,Blue Snail,Blue Snail,Niebieski ślimak, WARNING: AUTO-TRANSLATION #####################################################
,Blue Snail1,Blueberry flavor! Mmm!,Jagodowy! Mój ulubiony!, WARNING: AUTO-TRANSLATION #####################################################
,Crossbowman,Crossbowman,Kusznik,
,Crossbowman1,Hares - Nimbler than Badgers and stronger than Rabbits. They are ideal crossbowmen in the King's army,Zające - Zwinniejsze niż Borsuki i silniejsze niż Króliki. Są idealnymi kusznikami w armii króla,
,Crow Bandit,Crow Bandit,Kruczy rabuś,
,Crow Bandit1,They'll take your stuff and fly off,Zabierze twoje rzeczy i odleci,
,Cultist Blade,Cultist Blade,Ostrze kultysty,
,Cultist Blade1,From his hand a gold chain dangles - an idol of his leader,Z jego ręki zwisa złoty łańcuszek - bożek jego przywódcy,
,Cultist,Cultist,Kultysta,
,Cultist1,The cult is a pathway to many unnatural abilities,Kult jest drogą do wielu nadprzyrodzonych zdolności,
,Elder Mage,Elder Mage,Starszy Mag,
,Elder Mage1,From his hand a gold chain dangles - an idol of his leader,Z jego ręki zwisa złoty medalion - Bożek jego przywódcy,
,Ferret King,Ferret King,Król Fretek, WARNING: ENGLISH TEXT CHANGED #####################################################
,Ferret King1,He'd be kind of cute if he wasn't such a violent person,Byłby nawet uroczy gdyby nie był taki okrutny,
,Fire Gecko,Fire Gecko,Ognisty Gekon,
,Fire Gecko1,"Years of training, but no match for a magical backpack","Lata treningów, ale i tak nie równają się magicznemu plecakowi",
,Frog Wizard,Frog Wizard,Żabi Czarnoksiężnik,
,Frog Wizard1,Frogs know about a deep magic that appears on rare Wednesdays,"Żaby wiedzą o głębokiej magii, która pojawia się w rzadkie środy",
,Gerbil Ruffian,Gerbil Ruffian,Myszoskoczek Brutal,
,Gerbil Ruffian1,Rumor has it that Gerbils used to be pets before the founding of Orderia. These overgrown monsters make you doubt it.,"Plotka głosi, że myszoskoczki były zwierzętami domowymi przed założeniem Orderii. Te przerośnięte potwory sprawiają, ze w to wątpisz.",
,Glory Knight,Glory Knight,Rycerz Chwały,
,Glory Knight1,Courageous heroes who have lost their way,"Odważni bohaterowie, którzy zgubili drogę",
,Grandmaster,Grandmaster,Arcymistrz,
,Grandmaster1,The fires of this place will turn you to ashes,Ognie w tego miejsca obrócą cię w popiół,
,Hawk Knight,Hawk Knight,Jastrzębi Rycerz,
,Hawk Knight1,Noble. Screechingly loud. Pretty annoying really,Szlachetny. Strasznie skrzekliwy. To całkiem irytujące.,
,Hermit Crab,Hermit Crab,Krab Pustelnik,
,Hermit Crab1,"Sure they're crabs, but most hermits are easier to avoid","Oczywiście, że to to kraby, ale większości pustelników łatwiej jest uniknąć.",
,Hermit Crab Mimic,Hermit Crab Mimic,Krab Pustelnik Mimik, WARNING: AUTO-TRANSLATION #####################################################
,Hermit Crab Mimic1,looks can be deceiving,wygląd potrafi mylić, WARNING: AUTO-TRANSLATION #####################################################
,King,King,Król,
,King1,"""All the world will be your enemy""","""Cały świat będzie ci nieprzyjazny""",
,Lil Bee,Li'l Bee,Pszczółka,
,Lil Bee1,These small bees are all drones of the queen ,Wszystkie te małe pszczoły to trutnie królowej, WARNING: ENGLISH TEXT CHANGED #####################################################
,Living Shadow,Living Shadow,Żyjący Cień,
,Living Shadow1,A dark shadow of yourself.  Doppel-get-over-it!,Mroczny klon mnie. Zmienno-dawaj-go!, WARNING: ENGLISH TEXT CHANGED #####################################################
,Muskrat Brigand,Muskrat Brigand,Piżmak Rozbójnik,
,Muskrat Brigand1,"Tiny, spiny, they'll kick you in your... face","Mały, drażliwy, skopie ci… twarz",
,Newt,Newt,Traszka,
,Newt1,Newts stay in moist areas. It's pretty nasty really,Traszki bytują w wilgotnych obszarach. Trochę to obrzydliwe,
,Olm,Olm,Odmieniec Jaskiniowy,
,Olm1,Is it getting hot in here?,Czy zrobiło się tu trochę gorąco?,
,Pink Flower,Pink Flower,Różowy Kwiat,
,Pink Flower1,Beautiful but deadly,Piękny ale zabójczy,
,Porcupine,Porcupine ,Jeżozwierz, WARNING: ENGLISH TEXT CHANGED #####################################################
